2025/10/27 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
166,11:00～12:00,10月26日,22:41,38,72

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
120,11:00～12:00,10月26日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
153,18:00～19:00,10月26日,22:41,38,72

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
111,18:00～19:00,10月26日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/10/26,00:00,92,96,64,143
2025/10/26,01:00,87,91,60,143
2025/10/26,02:00,87,89,60,143
2025/10/26,03:00,87,89,60,143
2025/10/26,04:00,87,87,60,143
2025/10/26,05:00,88,88,61,143
2025/10/26,06:00,87,87,58,148
2025/10/26,07:00,92,92,59,154
2025/10/26,08:00,98,103,61,159
2025/10/26,09:00,105,112,64,163
2025/10/26,10:00,109,116,66,163
2025/10/26,11:00,112,120,67,165
2025/10/26,12:00,109,114,64,169
2025/10/26,13:00,107,113,65,164
2025/10/26,14:00,108,111,66,162
2025/10/26,15:00,108,107,68,158
2025/10/26,16:00,106,107,68,155
2025/10/26,17:00,107,108,69,153
2025/10/26,18:00,110,111,71,153
2025/10/26,19:00,109,109,71,153
2025/10/26,20:00,106,106,69,153
2025/10/26,21:00,102,101,66,153
2025/10/26,22:00,97,94,63,153
2025/10/26,23:00,91,89,63,143

最大使用率(%),時間帯
71,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
180,11:00～12:00,10月27日,00:00,54,65

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
117,11:00～12:00,10月27日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
153,19:00～20:00,10月27日,00:00,43,69

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
107,19:00～20:00,10月27日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/10/26,00:00,98,0
2025/10/26,00:05,96,0
2025/10/26,00:10,95,0
2025/10/26,00:15,93,0
2025/10/26,00:20,92,0
2025/10/26,00:25,93,0
2025/10/26,00:30,93,0
2025/10/26,00:35,94,0
2025/10/26,00:40,93,0
2025/10/26,00:45,91,0
2025/10/26,00:50,92,0
2025/10/26,00:55,92,0
2025/10/26,01:00,92,0
2025/10/26,01:05,91,0
2025/10/26,01:10,89,0
2025/10/26,01:15,87,0
2025/10/26,01:20,87,0
2025/10/26,01:25,88,0
2025/10/26,01:30,87,0
2025/10/26,01:35,87,0
2025/10/26,01:40,88,0
2025/10/26,01:45,88,0
2025/10/26,01:50,89,0
2025/10/26,01:55,86,0
2025/10/26,02:00,88,0
2025/10/26,02:05,89,0
2025/10/26,02:10,89,0
2025/10/26,02:15,88,0
2025/10/26,02:20,88,0
2025/10/26,02:25,85,0
2025/10/26,02:30,85,0
2025/10/26,02:35,86,0
2025/10/26,02:40,89,0
2025/10/26,02:45,89,0
2025/10/26,02:50,90,0
2025/10/26,02:55,88,0
2025/10/26,03:00,89,0
2025/10/26,03:05,89,0
2025/10/26,03:10,89,0
2025/10/26,03:15,89,0
2025/10/26,03:20,88,0
2025/10/26,03:25,86,0
2025/10/26,03:30,86,0
2025/10/26,03:35,88,0
2025/10/26,03:40,88,0
2025/10/26,03:45,89,0
2025/10/26,03:50,87,0
2025/10/26,03:55,87,0
2025/10/26,04:00,89,0
2025/10/26,04:05,89,0
2025/10/26,04:10,88,0
2025/10/26,04:15,88,0
2025/10/26,04:20,86,0
2025/10/26,04:25,85,0
2025/10/26,04:30,86,0
2025/10/26,04:35,87,0
2025/10/26,04:40,89,0
2025/10/26,04:45,89,0
2025/10/26,04:50,89,0
2025/10/26,04:55,88,0
2025/10/26,05:00,89,0
2025/10/26,05:05,90,0
2025/10/26,05:10,90,0
2025/10/26,05:15,90,0
2025/10/26,05:20,88,0
2025/10/26,05:25,87,0
2025/10/26,05:30,87,0
2025/10/26,05:35,89,0
2025/10/26,05:40,88,0
2025/10/26,05:45,90,0
2025/10/26,05:50,88,0
2025/10/26,05:55,87,0
2025/10/26,06:00,89,0
2025/10/26,06:05,89,0
2025/10/26,06:10,89,0
2025/10/26,06:15,89,0
2025/10/26,06:20,86,0
2025/10/26,06:25,85,0
2025/10/26,06:30,86,0
2025/10/26,06:35,87,0
2025/10/26,06:40,88,0
2025/10/26,06:45,88,0
2025/10/26,06:50,90,0
2025/10/26,06:55,88,0
2025/10/26,07:00,89,0
2025/10/26,07:05,91,1
2025/10/26,07:10,92,1
2025/10/26,07:15,92,1
2025/10/26,07:20,91,1
2025/10/26,07:25,90,1
2025/10/26,07:30,89,1
2025/10/26,07:35,93,2
2025/10/26,07:40,94,2
2025/10/26,07:45,95,2
2025/10/26,07:50,96,3
2025/10/26,07:55,93,3
2025/10/26,08:00,95,3
2025/10/26,08:05,99,4
2025/10/26,08:10,99,4
2025/10/26,08:15,100,5
2025/10/26,08:20,97,5
2025/10/26,08:25,96,6
2025/10/26,08:30,96,6
2025/10/26,08:35,98,5
2025/10/26,08:40,99,5
2025/10/26,08:45,99,5
2025/10/26,08:50,100,6
2025/10/26,08:55,102,7
2025/10/26,09:00,103,7
2025/10/26,09:05,104,7
2025/10/26,09:10,103,6
2025/10/26,09:15,105,6
2025/10/26,09:20,106,6
2025/10/26,09:25,106,6
2025/10/26,09:30,106,7
2025/10/26,09:35,111,7
2025/10/26,09:40,108,8
2025/10/26,09:45,107,10
2025/10/26,09:50,108,11
2025/10/26,09:55,108,13
2025/10/26,10:00,107,14
2025/10/26,10:05,111,15
2025/10/26,10:10,109,15
2025/10/26,10:15,111,14
2025/10/26,10:20,111,14
2025/10/26,10:25,112,14
2025/10/26,10:30,113,13
2025/10/26,10:35,113,13
2025/10/26,10:40,110,12
2025/10/26,10:45,109,13
2025/10/26,10:50,110,14
2025/10/26,10:55,111,16
2025/10/26,11:00,110,18
2025/10/26,11:05,112,18
2025/10/26,11:10,112,17
2025/10/26,11:15,112,17
2025/10/26,11:20,114,16
2025/10/26,11:25,115,16
2025/10/26,11:30,115,16
2025/10/26,11:35,114,16
2025/10/26,11:40,112,16
2025/10/26,11:45,111,16
2025/10/26,11:50,111,16
2025/10/26,11:55,113,16
2025/10/26,12:00,114,16
2025/10/26,12:05,111,15
2025/10/26,12:10,110,14
2025/10/26,12:15,110,14
2025/10/26,12:20,112,13
2025/10/26,12:25,113,12
2025/10/26,12:30,114,11
2025/10/26,12:35,111,11
2025/10/26,12:40,109,10
2025/10/26,12:45,108,10
2025/10/26,12:50,108,9
2025/10/26,12:55,108,9
