2026/01/03 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
132,18:00～19:00,01月02日,22:41,59,62

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
83,18:00～19:00,01月02日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
130,21:00～22:00,01月02日,22:41,59,63

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
82,21:00～22:00,01月02日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/01/02,00:00,66,67,50,130
2026/01/02,01:00,64,65,49,130
2026/01/02,02:00,65,66,49,131
2026/01/02,03:00,68,69,51,132
2026/01/02,04:00,68,69,51,132
2026/01/02,05:00,67,67,50,132
2026/01/02,06:00,64,65,51,125
2026/01/02,07:00,66,68,55,119
2026/01/02,08:00,72,73,59,122
2026/01/02,09:00,74,76,58,127
2026/01/02,10:00,77,79,59,129
2026/01/02,11:00,77,79,58,132
2026/01/02,12:00,77,77,58,132
2026/01/02,13:00,76,77,57,133
2026/01/02,14:00,78,77,60,129
2026/01/02,15:00,77,76,54,141
2026/01/02,16:00,76,76,55,137
2026/01/02,17:00,79,79,59,133
2026/01/02,18:00,84,83,63,132
2026/01/02,19:00,85,83,64,132
2026/01/02,20:00,84,83,63,132
2026/01/02,21:00,81,82,62,130
2026/01/02,22:00,78,77,60,130
2026/01/02,23:00,75,74,57,130

最大使用率(%),時間帯
64,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
132,18:00～19:00,01月03日,00:00,57,63

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
84,18:00～19:00,01月03日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
132,18:00～19:00,01月03日,00:00,57,63

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
84,18:00～19:00,01月03日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/01/02,00:00,69,0
2026/01/02,00:05,69,0
2026/01/02,00:10,69,0
2026/01/02,00:15,68,0
2026/01/02,00:20,68,0
2026/01/02,00:25,68,0
2026/01/02,00:30,67,0
2026/01/02,00:35,67,0
2026/01/02,00:40,67,0
2026/01/02,00:45,66,0
2026/01/02,00:50,66,0
2026/01/02,00:55,66,0
2026/01/02,01:00,66,0
2026/01/02,01:05,66,0
2026/01/02,01:10,65,0
2026/01/02,01:15,65,0
2026/01/02,01:20,65,0
2026/01/02,01:25,65,0
2026/01/02,01:30,65,0
2026/01/02,01:35,65,0
2026/01/02,01:40,65,0
2026/01/02,01:45,65,0
2026/01/02,01:50,65,0
2026/01/02,01:55,65,0
2026/01/02,02:00,65,0
2026/01/02,02:05,65,0
2026/01/02,02:10,65,0
2026/01/02,02:15,65,0
2026/01/02,02:20,65,0
2026/01/02,02:25,66,0
2026/01/02,02:30,66,0
2026/01/02,02:35,66,0
2026/01/02,02:40,67,0
2026/01/02,02:45,67,0
2026/01/02,02:50,67,0
2026/01/02,02:55,67,0
2026/01/02,03:00,68,0
2026/01/02,03:05,68,0
2026/01/02,03:10,68,0
2026/01/02,03:15,68,0
2026/01/02,03:20,69,0
2026/01/02,03:25,69,0
2026/01/02,03:30,69,0
2026/01/02,03:35,69,0
2026/01/02,03:40,69,0
2026/01/02,03:45,69,0
2026/01/02,03:50,69,0
2026/01/02,03:55,69,0
2026/01/02,04:00,69,0
2026/01/02,04:05,70,0
2026/01/02,04:10,70,0
2026/01/02,04:15,69,0
2026/01/02,04:20,69,0
2026/01/02,04:25,69,0
2026/01/02,04:30,69,0
2026/01/02,04:35,69,0
2026/01/02,04:40,70,0
2026/01/02,04:45,70,0
2026/01/02,04:50,69,0
2026/01/02,04:55,70,0
2026/01/02,05:00,69,0
2026/01/02,05:05,70,0
2026/01/02,05:10,70,0
2026/01/02,05:15,69,0
2026/01/02,05:20,69,0
2026/01/02,05:25,69,0
2026/01/02,05:30,68,0
2026/01/02,05:35,68,0
2026/01/02,05:40,67,0
2026/01/02,05:45,67,0
2026/01/02,05:50,67,0
2026/01/02,05:55,66,0
2026/01/02,06:00,66,0
2026/01/02,06:05,66,0
2026/01/02,06:10,66,0
2026/01/02,06:15,65,0
2026/01/02,06:20,65,0
2026/01/02,06:25,65,0
2026/01/02,06:30,66,0
2026/01/02,06:35,66,0
2026/01/02,06:40,66,0
2026/01/02,06:45,66,0
