2025/12/02 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,18:00～19:00,12月01日,22:41,59,62

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
91,18:00～19:00,12月01日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
134,13:00～14:00,12月01日,22:41,51,66

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
89,13:00～14:00,12月01日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/12/01,00:00,66,67,52,125
2025/12/01,01:00,64,65,51,125
2025/12/01,02:00,64,66,51,125
2025/12/01,03:00,67,69,51,131
2025/12/01,04:00,69,70,52,131
2025/12/01,05:00,70,70,53,131
2025/12/01,06:00,71,72,54,131
2025/12/01,07:00,77,76,58,132
2025/12/01,08:00,83,82,61,134
2025/12/01,09:00,88,87,63,138
2025/12/01,10:00,91,88,65,138
2025/12/01,11:00,89,89,64,139
2025/12/01,12:00,86,88,63,136
2025/12/01,13:00,88,89,65,134
2025/12/01,14:00,89,88,66,134
2025/12/01,15:00,89,87,66,133
2025/12/01,16:00,89,86,60,147
2025/12/01,17:00,90,87,62,145
2025/12/01,18:00,91,91,62,145
2025/12/01,19:00,89,89,61,145
2025/12/01,20:00,87,87,60,145
2025/12/01,21:00,81,83,58,138
2025/12/01,22:00,77,78,58,131
2025/12/01,23:00,73,74,55,131

最大使用率(%),時間帯
66,15:00～16:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
151,11:00～12:00,12月02日,00:00,56,64

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
97,11:00～12:00,12月02日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
135,16:00～17:00,12月02日,00:00,48,67

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
91,16:00～17:00,12月02日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/12/01,00:00,70,0
2025/12/01,00:05,69,0
2025/12/01,00:10,69,0
2025/12/01,00:15,68,0
2025/12/01,00:20,68,0
2025/12/01,00:25,67,0
2025/12/01,00:30,67,0
2025/12/01,00:35,67,0
2025/12/01,00:40,67,0
2025/12/01,00:45,66,0
2025/12/01,00:50,66,0
2025/12/01,00:55,66,0
2025/12/01,01:00,65,0
2025/12/01,01:05,65,0
2025/12/01,01:10,65,0
2025/12/01,01:15,65,0
2025/12/01,01:20,65,0
2025/12/01,01:25,65,0
2025/12/01,01:30,64,0
2025/12/01,01:35,64,0
2025/12/01,01:40,64,0
2025/12/01,01:45,64,0
2025/12/01,01:50,65,0
2025/12/01,01:55,65,0
2025/12/01,02:00,65,0
2025/12/01,02:05,65,0
2025/12/01,02:10,65,0
2025/12/01,02:15,65,0
2025/12/01,02:20,65,0
2025/12/01,02:25,65,0
2025/12/01,02:30,65,0
2025/12/01,02:35,66,0
2025/12/01,02:40,66,0
2025/12/01,02:45,66,0
2025/12/01,02:50,66,0
2025/12/01,02:55,66,0
2025/12/01,03:00,67,0
2025/12/01,03:05,67,0
2025/12/01,03:10,67,0
2025/12/01,03:15,68,0
2025/12/01,03:20,68,0
2025/12/01,03:25,68,0
2025/12/01,03:30,68,0
2025/12/01,03:35,68,0
2025/12/01,03:40,69,0
2025/12/01,03:45,69,0
2025/12/01,03:50,69,0
2025/12/01,03:55,69,0
2025/12/01,04:00,69,0
2025/12/01,04:05,69,0
2025/12/01,04:10,69,0
2025/12/01,04:15,69,0
2025/12/01,04:20,69,0
2025/12/01,04:25,70,0
2025/12/01,04:30,70,0
2025/12/01,04:35,70,0
2025/12/01,04:40,70,0
2025/12/01,04:45,70,0
2025/12/01,04:50,70,0
2025/12/01,04:55,70,0
2025/12/01,05:00,71,0
2025/12/01,05:05,71,0
2025/12/01,05:10,71,0
2025/12/01,05:15,71,0
2025/12/01,05:20,71,0
2025/12/01,05:25,71,0
2025/12/01,05:30,71,0
2025/12/01,05:35,71,0
2025/12/01,05:40,71,0
2025/12/01,05:45,70,0
2025/12/01,05:50,70,0
2025/12/01,05:55,70,0
2025/12/01,06:00,71,0
2025/12/01,06:05,71,0
2025/12/01,06:10,71,0
2025/12/01,06:15,71,0
2025/12/01,06:20,71,0
2025/12/01,06:25,72,0
2025/12/01,06:30,72,0
2025/12/01,06:35,72,0
2025/12/01,06:40,73,0
2025/12/01,06:45,73,0
2025/12/01,06:50,74,0
2025/12/01,06:55,74,0
2025/12/01,07:00,75,0
2025/12/01,07:05,76,0
2025/12/01,07:10,76,0
2025/12/01,07:15,77,0
2025/12/01,07:20,77,0
2025/12/01,07:25,77,0
2025/12/01,07:30,78,1
2025/12/01,07:35,79,1
2025/12/01,07:40,79,1
2025/12/01,07:45,79,1
2025/12/01,07:50,80,1
2025/12/01,07:55,80,1
2025/12/01,08:00,80,2
2025/12/01,08:05,82,2
2025/12/01,08:10,82,2
2025/12/01,08:15,83,2
2025/12/01,08:20,83,2
2025/12/01,08:25,83,2
2025/12/01,08:30,84,3
2025/12/01,08:35,87,3
2025/12/01,08:40,87,3
2025/12/01,08:45,87,4
2025/12/01,08:50,87,5
2025/12/01,08:55,86,6
2025/12/01,09:00,87,6
2025/12/01,09:05,88,6
2025/12/01,09:10,88,6
2025/12/01,09:15,88,6
2025/12/01,09:20,89,6
2025/12/01,09:25,89,6
2025/12/01,09:30,89,7
2025/12/01,09:35,90,8
2025/12/01,09:40,90,8
2025/12/01,09:45,90,8
2025/12/01,09:50,90,7
2025/12/01,09:55,91,6
2025/12/01,10:00,91,7
2025/12/01,10:05,93,8
2025/12/01,10:10,93,8
2025/12/01,10:15,92,10
2025/12/01,10:20,91,10
2025/12/01,10:25,92,9
2025/12/01,10:30,92,10
2025/12/01,10:35,93,10
2025/12/01,10:40,93,11
2025/12/01,10:45,92,11
2025/12/01,10:50,92,10
2025/12/01,10:55,92,10
2025/12/01,11:00,92,9
2025/12/01,11:05,88,9
2025/12/01,11:10,88,7
2025/12/01,11:15,90,5
2025/12/01,11:20,92,4
2025/12/01,11:25,92,2
2025/12/01,11:30,93,2
2025/12/01,11:35,91,2
2025/12/01,11:40,90,2
2025/12/01,11:45,90,2
2025/12/01,11:50,89,2
2025/12/01,11:55,88,3
2025/12/01,12:00,88,3
2025/12/01,12:05,89,3
2025/12/01,12:10,89,4
2025/12/01,12:15,88,4
2025/12/01,12:20,88,4
2025/12/01,12:25,87,3
2025/12/01,12:30,87,3
2025/12/01,12:35,87,3
2025/12/01,12:40,87,3
2025/12/01,12:45,87,3
2025/12/01,12:50,86,2
2025/12/01,12:55,86,3
2025/12/01,13:00,86,3
2025/12/01,13:05,89,4
2025/12/01,13:10,89,5
2025/12/01,13:15,89,5
2025/12/01,13:20,89,5
2025/12/01,13:25,89,4
2025/12/01,13:30,88,4
2025/12/01,13:35,91,5
2025/12/01,13:40,90,6
2025/12/01,13:45,90,7
2025/12/01,13:50,90,7
2025/12/01,13:55,90,8
2025/12/01,14:00,90,9
2025/12/01,14:05,93,9
2025/12/01,14:10,92,9
2025/12/01,14:15,91,9
2025/12/01,14:20,90,11
2025/12/01,14:25,91,10
2025/12/01,14:30,92,10
2025/12/01,14:35,90,9
2025/12/01,14:40,91,8
2025/12/01,14:45,91,7
2025/12/01,14:50,91,6
2025/12/01,14:55,91,6
2025/12/01,15:00,90,8
2025/12/01,15:05,89,8
2025/12/01,15:10,90,8
2025/12/01,15:15,91,7
2025/12/01,15:20,91,5
2025/12/01,15:25,92,5
2025/12/01,15:30,92,4
2025/12/01,15:35,90,3
2025/12/01,15:40,90,3
2025/12/01,15:45,90,3
2025/12/01,15:50,91,3
2025/12/01,15:55,91,2
2025/12/01,16:00,91,1
2025/12/01,16:05,90,1
2025/12/01,16:10,90,1
2025/12/01,16:15,90,1
2025/12/01,16:20,91,1
2025/12/01,16:25,91,1
2025/12/01,16:30,91,1
2025/12/01,16:35,91,1
2025/12/01,16:40,90,1
2025/12/01,16:45,89,1
2025/12/01,16:50,89,1
2025/12/01,16:55,89,1
2025/12/01,17:00,89,1
2025/12/01,17:05,89,1
2025/12/01,17:10,89,1
2025/12/01,17:15,89,1
2025/12/01,17:20,89,0
2025/12/01,17:25,90,0
2025/12/01,17:30,90,0
2025/12/01,17:35,90,0
2025/12/01,17:40,91,0
2025/12/01,17:45,91,0
2025/12/01,17:50,91,0
2025/12/01,17:55,91,0
2025/12/01,18:00,92,0
2025/12/01,18:05,92,0
2025/12/01,18:10,92,0
2025/12/01,18:15,92,0
2025/12/01,18:20,92,0
2025/12/01,18:25,92,0
2025/12/01,18:30,92,0
2025/12/01,18:35,92,0
2025/12/01,18:40,92,0
2025/12/01,18:45,92,0
2025/12/01,18:50,92,0
2025/12/01,18:55,92,0
2025/12/01,19:00,91,0
2025/12/01,19:05,91,0
2025/12/01,19:10,91,0
2025/12/01,19:15,90,0
2025/12/01,19:20,90,0
2025/12/01,19:25,90,0
2025/12/01,19:30,90,0
2025/12/01,19:35,90,0
2025/12/01,19:40,90,0
2025/12/01,19:45,90,0
2025/12/01,19:50,89,0
2025/12/01,19:55,89,0
2025/12/01,20:00,89,0
2025/12/01,20:05,89,0
2025/12/01,20:10,89,0
2025/12/01,20:15,88,0
2025/12/01,20:20,88,0
2025/12/01,20:25,88,0
2025/12/01,20:30,87,0
2025/12/01,20:35,87,0
2025/12/01,20:40,87,0
2025/12/01,20:45,87,0
2025/12/01,20:50,86,0
2025/12/01,20:55,86,0
2025/12/01,21:00,86,0
2025/12/01,21:05,86,0
2025/12/01,21:10,86,0
2025/12/01,21:15,85,0
2025/12/01,21:20,85,0
2025/12/01,21:25,84,0
2025/12/01,21:30,84,0
2025/12/01,21:35,83,0
2025/12/01,21:40,83,0
2025/12/01,21:45,82,0
2025/12/01,21:50,82,0
2025/12/01,21:55,82,0
2025/12/01,22:00,81,0
2025/12/01,22:05,80,0
2025/12/01,22:10,80,0
2025/12/01,22:15,79,0
2025/12/01,22:20,79,0
2025/12/01,22:25,78,0
2025/12/01,22:30,78,0
2025/12/01,22:35,77,0
2025/12/01,22:40,77,0
2025/12/01,22:45,77,0
2025/12/01,22:50,76,0
2025/12/01,22:55,76,0
2025/12/01,23:00,76,0
2025/12/01,23:05,76,0
2025/12/01,23:10,75,0
2025/12/01,23:15,75,0
2025/12/01,23:20,75,0
2025/12/01,23:25,74,0
2025/12/01,23:30,74,0
2025/12/01,23:35,73,0
2025/12/01,23:40,73,0
2025/12/01,23:45,73,0
2025/12/01,23:50,72,0
2025/12/01,23:55,72,0
