2025/12/13 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
141,11:00～12:00,12月12日,22:41,52,65

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
93,11:00～12:00,12月12日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
124,18:00～19:00,12月12日,22:41,39,71

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
89,18:00～19:00,12月12日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/12/12,00:00,67,68,54,124
2025/12/12,01:00,64,65,51,125
2025/12/12,02:00,65,66,52,125
2025/12/12,03:00,68,69,54,124
2025/12/12,04:00,70,71,56,124
2025/12/12,05:00,70,72,56,124
2025/12/12,06:00,72,73,57,125
2025/12/12,07:00,76,78,60,125
2025/12/12,08:00,83,83,64,129
2025/12/12,09:00,90,89,67,134
2025/12/12,10:00,92,92,66,139
2025/12/12,11:00,91,93,64,141
2025/12/12,12:00,90,90,63,141
2025/12/12,13:00,91,92,65,140
2025/12/12,14:00,90,89,65,138
2025/12/12,15:00,88,90,66,133
2025/12/12,16:00,87,89,68,128
2025/12/12,17:00,86,88,69,124
2025/12/12,18:00,88,89,71,124
2025/12/12,19:00,86,87,69,124
2025/12/12,20:00,83,84,66,124
2025/12/12,21:00,79,80,63,124
2025/12/12,22:00,78,74,62,124
2025/12/12,23:00,74,75,59,124

最大使用率(%),時間帯
71,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
124,18:00～19:00,12月13日,00:00,48,67

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
84,18:00～19:00,12月13日,00:00

