2025/12/14 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
124,18:00～19:00,12月13日,22:41,41,70

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
88,18:00～19:00,12月13日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
124,18:00～19:00,12月13日,22:41,41,70

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
88,18:00～19:00,12月13日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/12/13,00:00,70,69,56,124
2025/12/13,01:00,68,68,54,124
2025/12/13,02:00,68,69,54,124
2025/12/13,03:00,71,71,57,124
2025/12/13,04:00,71,71,57,124
2025/12/13,05:00,71,72,57,124
2025/12/13,06:00,71,71,57,124
2025/12/13,07:00,73,74,58,125
2025/12/13,08:00,79,77,61,129
2025/12/13,09:00,84,83,64,131
2025/12/13,10:00,86,85,61,139
2025/12/13,11:00,88,86,63,139
2025/12/13,12:00,87,87,60,144
2025/12/13,13:00,89,87,63,141
2025/12/13,14:00,88,87,63,138
2025/12/13,15:00,86,86,64,134
2025/12/13,16:00,84,85,66,127
2025/12/13,17:00,84,86,67,124
2025/12/13,18:00,87,88,70,124
2025/12/13,19:00,86,87,69,124
2025/12/13,20:00,83,84,66,124
2025/12/13,21:00,79,80,63,124
2025/12/13,22:00,75,75,60,124
2025/12/13,23:00,74,75,59,124

最大使用率(%),時間帯
70,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
125,18:00～19:00,12月14日,00:00,39,72

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
90,18:00～19:00,12月14日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
125,18:00～19:00,12月14日,00:00,39,72

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
90,18:00～19:00,12月14日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/12/13,00:00,73,0
2025/12/13,00:05,72,0
2025/12/13,00:10,74,0
2025/12/13,00:15,73,0
2025/12/13,00:20,74,0
2025/12/13,00:25,73,0
2025/12/13,00:30,72,0
2025/12/13,00:35,71,0
2025/12/13,00:40,72,0
2025/12/13,00:45,70,0
2025/12/13,00:50,69,0
2025/12/13,00:55,68,0
2025/12/13,01:00,67,0
2025/12/13,01:05,69,0
2025/12/13,01:10,70,0
2025/12/13,01:15,70,0
2025/12/13,01:20,69,0
2025/12/13,01:25,67,0
2025/12/13,01:30,69,0
2025/12/13,01:35,70,0
2025/12/13,01:40,70,0
2025/12/13,01:45,70,0
2025/12/13,01:50,69,0
2025/12/13,01:55,69,0
2025/12/13,02:00,68,0
2025/12/13,02:05,66,0
2025/12/13,02:10,66,0
2025/12/13,02:15,67,0
2025/12/13,02:20,68,0
2025/12/13,02:25,69,0
2025/12/13,02:30,70,0
2025/12/13,02:35,69,0
2025/12/13,02:40,70,0
2025/12/13,02:45,71,0
2025/12/13,02:50,71,0
2025/12/13,02:55,71,0
2025/12/13,03:00,72,0
2025/12/13,03:05,70,0
2025/12/13,03:10,69,0
2025/12/13,03:15,69,0
2025/12/13,03:20,69,0
2025/12/13,03:25,72,0
2025/12/13,03:30,72,0
2025/12/13,03:35,73,0
2025/12/13,03:40,73,0
2025/12/13,03:45,71,0
2025/12/13,03:50,73,0
2025/12/13,03:55,73,0
2025/12/13,04:00,74,0
2025/12/13,04:05,74,0
2025/12/13,04:10,73,0
2025/12/13,04:15,73,0
2025/12/13,04:20,71,0
2025/12/13,04:25,70,0
2025/12/13,04:30,69,0
2025/12/13,04:35,69,0
2025/12/13,04:40,71,0
2025/12/13,04:45,73,0
2025/12/13,04:50,73,0
2025/12/13,04:55,74,0
2025/12/13,05:00,72,0
2025/12/13,05:05,73,0
2025/12/13,05:10,74,0
2025/12/13,05:15,74,0
2025/12/13,05:20,74,0
2025/12/13,05:25,74,0
2025/12/13,05:30,73,0
2025/12/13,05:35,71,0
2025/12/13,05:40,70,0
2025/12/13,05:45,71,0
2025/12/13,05:50,72,0
2025/12/13,05:55,72,0
2025/12/13,06:00,71,0
2025/12/13,06:05,71,0
2025/12/13,06:10,72,0
2025/12/13,06:15,73,0
2025/12/13,06:20,72,0
2025/12/13,06:25,72,0
2025/12/13,06:30,72,0
2025/12/13,06:35,71,0
2025/12/13,06:40,70,0
2025/12/13,06:45,70,0
2025/12/13,06:50,73,0
2025/12/13,06:55,73,0
2025/12/13,07:00,73,0
2025/12/13,07:05,73,0
2025/12/13,07:10,73,0
2025/12/13,07:15,75,0
2025/12/13,07:20,75,0
2025/12/13,07:25,75,0
2025/12/13,07:30,75,1
2025/12/13,07:35,76,1
2025/12/13,07:40,75,1
2025/12/13,07:45,74,2
2025/12/13,07:50,74,2
2025/12/13,07:55,74,3
2025/12/13,08:00,75,3
2025/12/13,08:05,80,4
2025/12/13,08:10,79,5
2025/12/13,08:15,79,5
2025/12/13,08:20,79,6
2025/12/13,08:25,78,7
2025/12/13,08:30,78,8
2025/12/13,08:35,82,8
2025/12/13,08:40,82,9
2025/12/13,08:45,82,10
2025/12/13,08:50,82,10
2025/12/13,08:55,82,11
2025/12/13,09:00,81,12
2025/12/13,09:05,85,12
2025/12/13,09:10,85,13
2025/12/13,09:15,85,13
2025/12/13,09:20,84,14
2025/12/13,09:25,84,14
2025/12/13,09:30,84,15
2025/12/13,09:35,87,16
2025/12/13,09:40,87,16
2025/12/13,09:45,87,17
2025/12/13,09:50,86,17
2025/12/13,09:55,87,17
2025/12/13,10:00,87,18
2025/12/13,10:05,86,18
2025/12/13,10:10,86,18
2025/12/13,10:15,85,18
2025/12/13,10:20,86,16
2025/12/13,10:25,87,15
2025/12/13,10:30,87,14
2025/12/13,10:35,89,15
2025/12/13,10:40,89,16
2025/12/13,10:45,88,17
2025/12/13,10:50,87,19
2025/12/13,10:55,87,19
2025/12/13,11:00,86,20
2025/12/13,11:05,90,20
2025/12/13,11:10,90,21
2025/12/13,11:15,90,21
2025/12/13,11:20,89,22
2025/12/13,11:25,89,22
2025/12/13,11:30,89,22
2025/12/13,11:35,89,22
2025/12/13,11:40,90,21
2025/12/13,11:45,90,21
2025/12/13,11:50,91,21
2025/12/13,11:55,90,21
2025/12/13,12:00,90,22
2025/12/13,12:05,88,22
2025/12/13,12:10,88,22
2025/12/13,12:15,88,21
2025/12/13,12:20,90,19
2025/12/13,12:25,89,19
2025/12/13,12:30,90,18
2025/12/13,12:35,86,17
2025/12/13,12:40,86,16
2025/12/13,12:45,87,15
2025/12/13,12:50,88,15
2025/12/13,12:55,88,14
2025/12/13,13:00,87,17
2025/12/13,13:05,91,19
2025/12/13,13:10,90,20
2025/12/13,13:15,90,21
2025/12/13,13:20,90,22
2025/12/13,13:25,90,22
2025/12/13,13:30,91,22
2025/12/13,13:35,89,20
2025/12/13,13:40,89,19
2025/12/13,13:45,89,19
2025/12/13,13:50,89,17
2025/12/13,13:55,90,17
2025/12/13,14:00,90,18
2025/12/13,14:05,89,18
2025/12/13,14:10,89,18
2025/12/13,14:15,90,17
2025/12/13,14:20,90,17
2025/12/13,14:25,90,17
2025/12/13,14:30,90,16
2025/12/13,14:35,89,15
2025/12/13,14:40,90,14
2025/12/13,14:45,89,15
2025/12/13,14:50,88,15
2025/12/13,14:55,87,15
2025/12/13,15:00,87,15
2025/12/13,15:05,85,15
2025/12/13,15:10,86,15
2025/12/13,15:15,87,14
2025/12/13,15:20,87,13
2025/12/13,15:25,88,12
2025/12/13,15:30,88,11
2025/12/13,15:35,85,11
2025/12/13,15:40,85,11
2025/12/13,15:45,85,10
2025/12/13,15:50,86,10
2025/12/13,15:55,87,9
2025/12/13,16:00,88,9
2025/12/13,16:05,84,7
2025/12/13,16:10,85,7
2025/12/13,16:15,85,6
2025/12/13,16:20,85,6
2025/12/13,16:25,86,5
2025/12/13,16:30,87,4
2025/12/13,16:35,84,4
2025/12/13,16:40,84,3
2025/12/13,16:45,85,3
2025/12/13,16:50,85,2
2025/12/13,16:55,85,2
2025/12/13,17:00,85,2
2025/12/13,17:05,84,1
2025/12/13,17:10,84,1
2025/12/13,17:15,85,1
2025/12/13,17:20,85,1
2025/12/13,17:25,85,0
2025/12/13,17:30,86,0
2025/12/13,17:35,85,0
2025/12/13,17:40,86,0
2025/12/13,17:45,87,0
2025/12/13,17:50,87,0
2025/12/13,17:55,87,0
2025/12/13,18:00,87,0
2025/12/13,18:05,88,0
2025/12/13,18:10,88,0
2025/12/13,18:15,88,0
2025/12/13,18:20,88,0
2025/12/13,18:25,88,0
2025/12/13,18:30,88,0
2025/12/13,18:35,88,0
2025/12/13,18:40,88,0
2025/12/13,18:45,88,0
2025/12/13,18:50,88,0
2025/12/13,18:55,88,0
2025/12/13,19:00,88,0
2025/12/13,19:05,87,0
2025/12/13,19:10,87,0
2025/12/13,19:15,87,0
2025/12/13,19:20,87,0
2025/12/13,19:25,87,0
2025/12/13,19:30,87,0
2025/12/13,19:35,86,0
2025/12/13,19:40,86,0
2025/12/13,19:45,86,0
2025/12/13,19:50,86,0
2025/12/13,19:55,86,0
2025/12/13,20:00,86,0
2025/12/13,20:05,86,0
2025/12/13,20:10,86,0
2025/12/13,20:15,85,0
2025/12/13,20:20,85,0
2025/12/13,20:25,85,0
2025/12/13,20:30,84,0
2025/12/13,20:35,84,0
2025/12/13,20:40,84,0
2025/12/13,20:45,83,0
2025/12/13,20:50,83,0
2025/12/13,20:55,83,0
2025/12/13,21:00,83,0
2025/12/13,21:05,82,0
2025/12/13,21:10,82,0
2025/12/13,21:15,81,0
2025/12/13,21:20,81,0
2025/12/13,21:25,81,0
2025/12/13,21:30,81,0
2025/12/13,21:35,81,0
2025/12/13,21:40,80,0
2025/12/13,21:45,80,0
2025/12/13,21:50,80,0
2025/12/13,21:55,79,0
2025/12/13,22:00,79,0
2025/12/13,22:05,78,0
2025/12/13,22:10,78,0
2025/12/13,22:15,77,0
2025/12/13,22:20,77,0
2025/12/13,22:25,76,0
2025/12/13,22:30,76,0
2025/12/13,22:35,76,0
2025/12/13,22:40,75,0
2025/12/13,22:45,75,0
2025/12/13,22:50,75,0
2025/12/13,22:55,75,0
2025/12/13,23:00,74,0
2025/12/13,23:05,75,0
2025/12/13,23:10,77,0
2025/12/13,23:15,77,0
2025/12/13,23:20,75,0
2025/12/13,23:25,76,0
2025/12/13,23:30,76,0
2025/12/13,23:35,76,0
2025/12/13,23:40,75,0
2025/12/13,23:45,74,0
