2025/09/04 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
221,11:00～12:00,09月03日,22:41,47,67

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
150,11:00～12:00,09月03日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
202,16:00～17:00,09月03日,22:41,37,72

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
147,16:00～17:00,09月03日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/09/03,00:00,101,101,60,168
2025/09/03,01:00,96,97,57,168
2025/09/03,02:00,94,95,56,168
2025/09/03,03:00,94,94,56,168
2025/09/03,04:00,94,94,56,168
2025/09/03,05:00,97,96,57,168
2025/09/03,06:00,102,101,60,169
2025/09/03,07:00,115,116,58,198
2025/09/03,08:00,132,134,64,205
2025/09/03,09:00,143,143,67,211
2025/09/03,10:00,147,148,67,218
2025/09/03,11:00,149,150,67,220
2025/09/03,12:00,149,150,67,221
2025/09/03,13:00,150,150,68,218
2025/09/03,14:00,149,150,70,213
2025/09/03,15:00,146,148,69,210
2025/09/03,16:00,144,147,70,203
2025/09/03,17:00,142,141,72,197
2025/09/03,18:00,140,138,72,193
2025/09/03,19:00,140,138,72,193
2025/09/03,20:00,135,134,69,193
2025/09/03,21:00,128,128,66,193
2025/09/03,22:00,121,120,72,168
2025/09/03,23:00,113,112,67,168

最大使用率(%),時間帯
72,22:00～23:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
201,14:00～15:00,09月04日,00:00,32,75

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
152,14:00～15:00,09月04日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
184,17:00～18:00,09月04日,00:00,26,79

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
146,17:00～18:00,09月04日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/09/03,00:00,106,0
2025/09/03,00:05,105,0
2025/09/03,00:10,105,0
2025/09/03,00:15,104,0
2025/09/03,00:20,103,0
2025/09/03,00:25,103,0
2025/09/03,00:30,102,0
2025/09/03,00:35,102,0
2025/09/03,00:40,101,0
2025/09/03,00:45,100,0
2025/09/03,00:50,100,0
2025/09/03,00:55,99,0
2025/09/03,01:00,99,0
2025/09/03,01:05,99,0
2025/09/03,01:10,98,0
2025/09/03,01:15,98,0
2025/09/03,01:20,97,0
2025/09/03,01:25,97,0
2025/09/03,01:30,96,0
2025/09/03,01:35,96,0
2025/09/03,01:40,96,0
2025/09/03,01:45,95,0
2025/09/03,01:50,95,0
2025/09/03,01:55,95,0
2025/09/03,02:00,95,0
2025/09/03,02:05,95,0
2025/09/03,02:10,95,0
2025/09/03,02:15,95,0
2025/09/03,02:20,95,0
2025/09/03,02:25,95,0
2025/09/03,02:30,94,0
2025/09/03,02:35,95,0
2025/09/03,02:40,96,0
2025/09/03,02:45,96,0
2025/09/03,02:50,96,0
2025/09/03,02:55,96,0
2025/09/03,03:00,95,0
2025/09/03,03:05,95,0
2025/09/03,03:10,95,0
2025/09/03,03:15,95,0
2025/09/03,03:20,96,0
2025/09/03,03:25,95,0
2025/09/03,03:30,95,0
2025/09/03,03:35,95,0
2025/09/03,03:40,95,0
2025/09/03,03:45,94,0
2025/09/03,03:50,94,0
2025/09/03,03:55,94,0
2025/09/03,04:00,94,0
2025/09/03,04:05,94,0
2025/09/03,04:10,94,0
2025/09/03,04:15,94,0
2025/09/03,04:20,94,0
2025/09/03,04:25,94,0
2025/09/03,04:30,94,0
2025/09/03,04:35,94,0
2025/09/03,04:40,95,0
2025/09/03,04:45,95,0
2025/09/03,04:50,96,0
2025/09/03,04:55,96,0
2025/09/03,05:00,96,0
2025/09/03,05:05,96,0
2025/09/03,05:10,97,0
2025/09/03,05:15,97,0
2025/09/03,05:20,97,0
2025/09/03,05:25,97,0
2025/09/03,05:30,97,0
2025/09/03,05:35,98,0
2025/09/03,05:40,98,0
2025/09/03,05:45,98,0
2025/09/03,05:50,98,0
2025/09/03,05:55,98,0
2025/09/03,06:00,98,0
2025/09/03,06:05,99,0
2025/09/03,06:10,100,0
2025/09/03,06:15,100,0
2025/09/03,06:20,100,0
2025/09/03,06:25,100,0
2025/09/03,06:30,101,1
2025/09/03,06:35,103,1
2025/09/03,06:40,104,1
2025/09/03,06:45,105,1
2025/09/03,06:50,105,2
2025/09/03,06:55,106,2
2025/09/03,07:00,107,3
2025/09/03,07:05,110,3
2025/09/03,07:10,111,3
2025/09/03,07:15,111,4
2025/09/03,07:20,112,4
2025/09/03,07:25,112,5
2025/09/03,07:30,113,5
2025/09/03,07:35,118,6
2025/09/03,07:40,118,7
2025/09/03,07:45,119,7
2025/09/03,07:50,120,8
2025/09/03,07:55,121,9
2025/09/03,08:00,122,9
2025/09/03,08:05,127,10
2025/09/03,08:10,128,11
2025/09/03,08:15,129,11
2025/09/03,08:20,130,12
2025/09/03,08:25,130,13
2025/09/03,08:30,131,13
2025/09/03,08:35,136,14
2025/09/03,08:40,136,14
2025/09/03,08:45,137,15
2025/09/03,08:50,137,16
2025/09/03,08:55,137,16
2025/09/03,09:00,138,16
2025/09/03,09:05,141,17
2025/09/03,09:10,142,17
2025/09/03,09:15,142,18
2025/09/03,09:20,143,18
2025/09/03,09:25,143,19
2025/09/03,09:30,143,19
2025/09/03,09:35,145,19
2025/09/03,09:40,145,20
2025/09/03,09:45,146,20
2025/09/03,09:50,145,21
2025/09/03,09:55,145,21
2025/09/03,10:00,145,21
2025/09/03,10:05,147,21
2025/09/03,10:10,147,21
2025/09/03,10:15,147,21
2025/09/03,10:20,147,22
2025/09/03,10:25,147,22
2025/09/03,10:30,147,23
2025/09/03,10:35,148,23
2025/09/03,10:40,148,23
2025/09/03,10:45,148,23
2025/09/03,10:50,149,23
2025/09/03,10:55,149,22
2025/09/03,11:00,150,22
2025/09/03,11:05,150,22
2025/09/03,11:10,150,22
2025/09/03,11:15,150,22
2025/09/03,11:20,150,23
2025/09/03,11:25,149,24
2025/09/03,11:30,149,24
2025/09/03,11:35,150,24
2025/09/03,11:40,150,24
2025/09/03,11:45,150,24
2025/09/03,11:50,150,23
2025/09/03,11:55,151,24
2025/09/03,12:00,150,24
2025/09/03,12:05,150,23
2025/09/03,12:10,150,23
2025/09/03,12:15,150,23
2025/09/03,12:20,150,23
2025/09/03,12:25,150,23
2025/09/03,12:30,150,23
2025/09/03,12:35,150,23
2025/09/03,12:40,150,24
2025/09/03,12:45,150,24
2025/09/03,12:50,150,24
2025/09/03,12:55,150,23
2025/09/03,13:00,150,23
2025/09/03,13:05,150,23
2025/09/03,13:10,152,22
2025/09/03,13:15,152,21
2025/09/03,13:20,152,20
2025/09/03,13:25,152,21
2025/09/03,13:30,151,22
2025/09/03,13:35,150,22
2025/09/03,13:40,149,22
2025/09/03,13:45,149,22
2025/09/03,13:50,149,20
2025/09/03,13:55,151,19
2025/09/03,14:00,152,19
2025/09/03,14:05,150,18
2025/09/03,14:10,151,17
2025/09/03,14:15,151,17
2025/09/03,14:20,151,17
2025/09/03,14:25,150,17
2025/09/03,14:30,149,17
2025/09/03,14:35,148,17
2025/09/03,14:40,148,16
2025/09/03,14:45,148,16
2025/09/03,14:50,148,15
2025/09/03,14:55,148,14
2025/09/03,15:00,148,14
2025/09/03,15:05,148,14
2025/09/03,15:10,147,15
2025/09/03,15:15,145,14
2025/09/03,15:20,145,14
2025/09/03,15:25,146,15
2025/09/03,15:30,147,15
2025/09/03,15:35,148,15
2025/09/03,15:40,148,16
2025/09/03,15:45,148,16
2025/09/03,15:50,147,16
2025/09/03,15:55,148,15
2025/09/03,16:00,147,15
2025/09/03,16:05,144,14
2025/09/03,16:10,144,13
2025/09/03,16:15,143,13
2025/09/03,16:20,144,12
2025/09/03,16:25,145,11
2025/09/03,16:30,147,10
2025/09/03,16:35,144,10
2025/09/03,16:40,144,9
2025/09/03,16:45,145,8
2025/09/03,16:50,145,8
2025/09/03,16:55,145,8
2025/09/03,17:00,146,7
2025/09/03,17:05,143,7
2025/09/03,17:10,143,7
2025/09/03,17:15,144,6
2025/09/03,17:20,144,6
2025/09/03,17:25,144,5
2025/09/03,17:30,145,5
2025/09/03,17:35,142,4
2025/09/03,17:40,142,4
2025/09/03,17:45,142,3
2025/09/03,17:50,142,3
2025/09/03,17:55,143,3
2025/09/03,18:00,143,2
2025/09/03,18:05,141,2
2025/09/03,18:10,141,2
2025/09/03,18:15,141,1
2025/09/03,18:20,141,1
2025/09/03,18:25,141,1
2025/09/03,18:30,141,0
2025/09/03,18:35,140,0
2025/09/03,18:40,140,0
2025/09/03,18:45,140,0
2025/09/03,18:50,141,0
2025/09/03,18:55,141,0
2025/09/03,19:00,142,0
2025/09/03,19:05,141,0
2025/09/03,19:10,141,0
2025/09/03,19:15,141,0
2025/09/03,19:20,141,0
2025/09/03,19:25,141,0
2025/09/03,19:30,141,0
2025/09/03,19:35,140,0
2025/09/03,19:40,140,0
2025/09/03,19:45,140,0
2025/09/03,19:50,140,0
2025/09/03,19:55,139,0
2025/09/03,20:00,139,0
2025/09/03,20:05,138,0
2025/09/03,20:10,138,0
2025/09/03,20:15,138,0
2025/09/03,20:20,137,0
2025/09/03,20:25,137,0
2025/09/03,20:30,136,0
2025/09/03,20:35,136,0
2025/09/03,20:40,136,0
2025/09/03,20:45,135,0
2025/09/03,20:50,135,0
2025/09/03,20:55,134,0
2025/09/03,21:00,134,0
2025/09/03,21:05,133,0
2025/09/03,21:10,132,0
2025/09/03,21:15,132,0
2025/09/03,21:20,131,0
2025/09/03,21:25,131,0
2025/09/03,21:30,130,0
2025/09/03,21:35,130,0
2025/09/03,21:40,130,0
2025/09/03,21:45,129,0
2025/09/03,21:50,129,0
2025/09/03,21:55,128,0
2025/09/03,22:00,127,0
2025/09/03,22:05,126,0
2025/09/03,22:10,125,0
2025/09/03,22:15,124,0
2025/09/03,22:20,124,0
2025/09/03,22:25,123,0
2025/09/03,22:30,122,0
2025/09/03,22:35,122,0
2025/09/03,22:40,121,0
2025/09/03,22:45,120,0
2025/09/03,22:50,120,0
2025/09/03,22:55,119,0
2025/09/03,23:00,118,0
2025/09/03,23:05,118,0
2025/09/03,23:10,117,0
2025/09/03,23:15,116,0
2025/09/03,23:20,116,0
2025/09/03,23:25,115,0
2025/09/03,23:30,114,0
2025/09/03,23:35,113,0
2025/09/03,23:40,113,0
2025/09/03,23:45,112,0
2025/09/03,23:50,111,0
2025/09/03,23:55,111,0
