2025/09/17 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
205,11:00～12:00,09月16日,22:41,29,77

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
159,11:00～12:00,09月16日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
185,16:00～17:00,09月16日,22:41,22,82

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
152,16:00～17:00,09月16日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/09/16,00:00,108,110,59,183
2025/09/16,01:00,103,105,56,183
2025/09/16,02:00,101,104,55,183
2025/09/16,03:00,101,104,55,183
2025/09/16,04:00,100,103,54,183
2025/09/16,05:00,103,106,56,183
2025/09/16,06:00,107,110,58,184
2025/09/16,07:00,121,124,64,188
2025/09/16,08:00,137,139,69,196
2025/09/16,09:00,148,150,72,203
2025/09/16,10:00,152,155,74,203
2025/09/16,11:00,154,159,75,205
2025/09/16,12:00,154,157,75,205
2025/09/16,13:00,155,156,76,204
2025/09/16,14:00,155,155,77,201
2025/09/16,15:00,153,154,78,195
2025/09/16,16:00,151,152,80,187
2025/09/16,17:00,146,146,81,180
2025/09/16,18:00,143,143,80,177
2025/09/16,19:00,142,144,80,177
2025/09/16,20:00,138,140,78,177
2025/09/16,21:00,129,132,70,183
2025/09/16,22:00,125,121,68,183
2025/09/16,23:00,117,116,63,183

最大使用率(%),時間帯
81,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
204,14:00～15:00,09月17日,00:00,32,75

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
154,14:00～15:00,09月17日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
187,16:00～17:00,09月17日,00:00,24,80

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
151,16:00～17:00,09月17日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/09/16,00:00,113,0
2025/09/16,00:05,112,0
2025/09/16,00:10,112,0
2025/09/16,00:15,111,0
2025/09/16,00:20,111,0
2025/09/16,00:25,111,0
2025/09/16,00:30,108,0
2025/09/16,00:35,107,0
2025/09/16,00:40,106,0
2025/09/16,00:45,107,0
2025/09/16,00:50,107,0
2025/09/16,00:55,107,0
2025/09/16,01:00,107,0
2025/09/16,01:05,105,0
2025/09/16,01:10,106,0
2025/09/16,01:15,106,0
2025/09/16,01:20,105,0
2025/09/16,01:25,105,0
2025/09/16,01:30,105,0
2025/09/16,01:35,102,0
2025/09/16,01:40,101,0
2025/09/16,01:45,102,0
2025/09/16,01:50,103,0
2025/09/16,01:55,103,0
2025/09/16,02:00,103,0
2025/09/16,02:05,102,0
2025/09/16,02:10,101,0
2025/09/16,02:15,103,0
2025/09/16,02:20,102,0
2025/09/16,02:25,102,0
2025/09/16,02:30,102,0
2025/09/16,02:35,100,0
2025/09/16,02:40,100,0
2025/09/16,02:45,102,0
2025/09/16,02:50,102,0
2025/09/16,02:55,104,0
2025/09/16,03:00,103,0
2025/09/16,03:05,101,0
2025/09/16,03:10,102,0
2025/09/16,03:15,103,0
2025/09/16,03:20,103,0
2025/09/16,03:25,103,0
2025/09/16,03:30,102,0
2025/09/16,03:35,100,0
2025/09/16,03:40,99,0
2025/09/16,03:45,101,0
2025/09/16,03:50,101,0
2025/09/16,03:55,101,0
2025/09/16,04:00,102,0
2025/09/16,04:05,99,0
2025/09/16,04:10,101,0
2025/09/16,04:15,101,0
2025/09/16,04:20,102,0
2025/09/16,04:25,102,0
2025/09/16,04:30,101,0
2025/09/16,04:35,99,0
2025/09/16,04:40,99,0
2025/09/16,04:45,101,0
2025/09/16,04:50,102,0
2025/09/16,04:55,102,0
2025/09/16,05:00,103,0
2025/09/16,05:05,102,0
2025/09/16,05:10,104,0
2025/09/16,05:15,105,0
2025/09/16,05:20,105,0
2025/09/16,05:25,105,0
2025/09/16,05:30,104,0
2025/09/16,05:35,102,0
2025/09/16,05:40,102,0
2025/09/16,05:45,103,0
2025/09/16,05:50,104,0
2025/09/16,05:55,104,0
2025/09/16,06:00,106,0
2025/09/16,06:05,107,0
2025/09/16,06:10,106,0
2025/09/16,06:15,105,0
2025/09/16,06:20,107,0
2025/09/16,06:25,108,0
2025/09/16,06:30,108,0
2025/09/16,06:35,110,1
2025/09/16,06:40,108,1
2025/09/16,06:45,108,1
2025/09/16,06:50,109,2
2025/09/16,06:55,111,2
2025/09/16,07:00,113,2
2025/09/16,07:05,116,3
2025/09/16,07:10,118,3
2025/09/16,07:15,118,3
2025/09/16,07:20,120,4
2025/09/16,07:25,121,4
2025/09/16,07:30,122,5
2025/09/16,07:35,126,5
2025/09/16,07:40,125,6
2025/09/16,07:45,125,7
2025/09/16,07:50,125,7
2025/09/16,07:55,126,8
2025/09/16,08:00,128,9
2025/09/16,08:05,133,9
2025/09/16,08:10,134,10
2025/09/16,08:15,135,10
2025/09/16,08:20,136,11
2025/09/16,08:25,137,11
2025/09/16,08:30,138,12
2025/09/16,08:35,141,12
2025/09/16,08:40,141,13
2025/09/16,08:45,142,13
2025/09/16,08:50,142,14
2025/09/16,08:55,142,15
2025/09/16,09:00,143,15
2025/09/16,09:05,147,16
2025/09/16,09:10,147,17
2025/09/16,09:15,147,17
2025/09/16,09:20,147,18
2025/09/16,09:25,147,18
2025/09/16,09:30,148,18
2025/09/16,09:35,151,19
2025/09/16,09:40,151,19
2025/09/16,09:45,151,20
2025/09/16,09:50,151,20
2025/09/16,09:55,151,21
2025/09/16,10:00,150,21
2025/09/16,10:05,153,22
2025/09/16,10:10,152,22
2025/09/16,10:15,152,23
2025/09/16,10:20,153,23
2025/09/16,10:25,152,23
2025/09/16,10:30,152,24
2025/09/16,10:35,154,24
2025/09/16,10:40,154,25
2025/09/16,10:45,154,25
2025/09/16,10:50,154,25
2025/09/16,10:55,153,25
2025/09/16,11:00,153,25
2025/09/16,11:05,154,25
2025/09/16,11:10,154,25
2025/09/16,11:15,155,25
2025/09/16,11:20,156,25
2025/09/16,11:25,155,26
2025/09/16,11:30,155,26
2025/09/16,11:35,156,26
2025/09/16,11:40,156,27
2025/09/16,11:45,155,27
2025/09/16,11:50,155,27
2025/09/16,11:55,156,27
2025/09/16,12:00,155,27
2025/09/16,12:05,156,27
2025/09/16,12:10,155,28
2025/09/16,12:15,155,28
2025/09/16,12:20,155,28
2025/09/16,12:25,155,28
2025/09/16,12:30,155,28
2025/09/16,12:35,155,28
2025/09/16,12:40,155,28
2025/09/16,12:45,155,28
2025/09/16,12:50,155,28
2025/09/16,12:55,155,28
2025/09/16,13:00,155,27
2025/09/16,13:05,155,27
2025/09/16,13:10,156,27
2025/09/16,13:15,156,27
2025/09/16,13:20,156,27
2025/09/16,13:25,156,27
2025/09/16,13:30,156,27
2025/09/16,13:35,156,27
2025/09/16,13:40,156,26
2025/09/16,13:45,156,26
2025/09/16,13:50,157,26
2025/09/16,13:55,157,26
2025/09/16,14:00,157,26
2025/09/16,14:05,156,26
2025/09/16,14:10,156,25
2025/09/16,14:15,156,25
2025/09/16,14:20,156,24
2025/09/16,14:25,157,24
2025/09/16,14:30,157,24
2025/09/16,14:35,154,23
2025/09/16,14:40,155,22
2025/09/16,14:45,155,21
2025/09/16,14:50,156,21
2025/09/16,14:55,157,20
2025/09/16,15:00,157,19
2025/09/16,15:05,153,19
2025/09/16,15:10,154,18
2025/09/16,15:15,154,17
2025/09/16,15:20,155,17
2025/09/16,15:25,155,16
2025/09/16,15:30,156,16
2025/09/16,15:35,153,15
2025/09/16,15:40,153,15
2025/09/16,15:45,154,14
2025/09/16,15:50,154,13
2025/09/16,15:55,155,13
2025/09/16,16:00,155,12
2025/09/16,16:05,151,11
2025/09/16,16:10,152,10
2025/09/16,16:15,152,10
2025/09/16,16:20,152,10
2025/09/16,16:25,152,9
2025/09/16,16:30,153,8
2025/09/16,16:35,151,8
2025/09/16,16:40,151,8
2025/09/16,16:45,151,8
2025/09/16,16:50,151,7
2025/09/16,16:55,152,7
2025/09/16,17:00,152,6
2025/09/16,17:05,149,6
2025/09/16,17:10,149,6
2025/09/16,17:15,149,5
2025/09/16,17:20,149,4
2025/09/16,17:25,149,4
2025/09/16,17:30,149,3
2025/09/16,17:35,146,3
2025/09/16,17:40,146,3
2025/09/16,17:45,146,2
2025/09/16,17:50,146,2
2025/09/16,17:55,146,1
2025/09/16,18:00,146,1
2025/09/16,18:05,144,1
2025/09/16,18:10,143,1
2025/09/16,18:15,144,0
2025/09/16,18:20,143,0
2025/09/16,18:25,144,0
2025/09/16,18:30,144,0
2025/09/16,18:35,144,0
2025/09/16,18:40,144,0
2025/09/16,18:45,145,0
2025/09/16,18:50,145,0
2025/09/16,18:55,145,0
2025/09/16,19:00,145,0
2025/09/16,19:05,144,0
2025/09/16,19:10,144,0
2025/09/16,19:15,144,0
2025/09/16,19:20,144,0
2025/09/16,19:25,144,0
2025/09/16,19:30,144,0
2025/09/16,19:35,143,0
2025/09/16,19:40,143,0
2025/09/16,19:45,143,0
2025/09/16,19:50,142,0
2025/09/16,19:55,142,0
2025/09/16,20:00,142,0
2025/09/16,20:05,141,0
2025/09/16,20:10,141,0
2025/09/16,20:15,140,0
2025/09/16,20:20,140,0
2025/09/16,20:25,139,0
2025/09/16,20:30,139,0
