2026/01/26 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
141,19:00～20:00,01月25日,22:41,57,63

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
90,19:00～20:00,01月25日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
141,19:00～20:00,01月25日,22:41,57,63

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
90,19:00～20:00,01月25日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/01/25,00:00,72,74,51,141
2026/01/25,01:00,70,71,49,141
2026/01/25,02:00,70,72,49,141
2026/01/25,03:00,74,75,52,141
2026/01/25,04:00,74,75,52,141
2026/01/25,05:00,72,73,51,141
2026/01/25,06:00,71,71,50,141
2026/01/25,07:00,74,74,52,142
2026/01/25,08:00,79,78,53,147
2026/01/25,09:00,82,80,58,141
2026/01/25,10:00,84,80,63,133
2026/01/25,11:00,84,82,60,138
2026/01/25,12:00,84,84,59,142
2026/01/25,13:00,83,83,58,141
2026/01/25,14:00,82,82,58,140
2026/01/25,15:00,80,82,54,146
2026/01/25,16:00,79,83,52,151
2026/01/25,17:00,80,85,55,143
2026/01/25,18:00,86,89,61,141
2026/01/25,19:00,88,90,62,141
2026/01/25,20:00,87,89,61,141
2026/01/25,21:00,84,86,59,141
2026/01/25,22:00,79,81,56,141
2026/01/25,23:00,73,77,51,141

最大使用率(%),時間帯
63,10:00～11:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
140,19:00～20:00,01月26日,00:00,63,61

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
86,19:00～20:00,01月26日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
125,09:00～10:00,01月26日,00:00,54,64

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
81,09:00～10:00,01月26日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/01/25,00:00,76,0
2026/01/25,00:05,75,0
2026/01/25,00:10,73,0
2026/01/25,00:15,72,0
2026/01/25,00:20,74,0
2026/01/25,00:25,75,0
2026/01/25,00:30,75,0
2026/01/25,00:35,74,0
2026/01/25,00:40,72,0
2026/01/25,00:45,73,0
2026/01/25,00:50,73,0
2026/01/25,00:55,73,0
2026/01/25,01:00,73,0
2026/01/25,01:05,72,0
2026/01/25,01:10,70,0
2026/01/25,01:15,69,0
2026/01/25,01:20,71,0
2026/01/25,01:25,71,0
2026/01/25,01:30,71,0
2026/01/25,01:35,72,0
2026/01/25,01:40,69,0
2026/01/25,01:45,71,0
2026/01/25,01:50,71,0
2026/01/25,01:55,72,0
2026/01/25,02:00,72,0
2026/01/25,02:05,72,0
2026/01/25,02:10,69,0
2026/01/25,02:15,69,0
2026/01/25,02:20,69,0
2026/01/25,02:25,70,0
2026/01/25,02:30,71,0
2026/01/25,02:35,73,0
2026/01/25,02:40,72,0
2026/01/25,02:45,74,0
2026/01/25,02:50,72,0
2026/01/25,02:55,72,0
2026/01/25,03:00,74,0
2026/01/25,03:05,75,0
2026/01/25,03:10,76,0
2026/01/25,03:15,76,0
2026/01/25,03:20,74,0
2026/01/25,03:25,73,0
2026/01/25,03:30,74,0
2026/01/25,03:35,75,0
2026/01/25,03:40,75,0
2026/01/25,03:45,76,0
2026/01/25,03:50,75,0
2026/01/25,03:55,75,0
2026/01/25,04:00,76,0
2026/01/25,04:05,77,0
2026/01/25,04:10,76,0
2026/01/25,04:15,76,0
2026/01/25,04:20,74,0
2026/01/25,04:25,73,0
2026/01/25,04:30,73,0
2026/01/25,04:35,74,0
2026/01/25,04:40,74,0
2026/01/25,04:45,75,0
2026/01/25,04:50,75,0
2026/01/25,04:55,75,0
2026/01/25,05:00,75,0
2026/01/25,05:05,73,0
2026/01/25,05:10,75,0
2026/01/25,05:15,76,0
2026/01/25,05:20,76,0
2026/01/25,05:25,75,0
2026/01/25,05:30,73,0
2026/01/25,05:35,71,0
2026/01/25,05:40,70,0
2026/01/25,05:45,71,0
2026/01/25,05:50,72,0
2026/01/25,05:55,72,0
2026/01/25,06:00,72,0
2026/01/25,06:05,71,0
2026/01/25,06:10,71,0
2026/01/25,06:15,72,0
2026/01/25,06:20,73,0
2026/01/25,06:25,72,0
2026/01/25,06:30,72,0
2026/01/25,06:35,70,0
2026/01/25,06:40,69,0
2026/01/25,06:45,70,0
2026/01/25,06:50,72,0
2026/01/25,06:55,72,0
2026/01/25,07:00,73,0
2026/01/25,07:05,74,0
2026/01/25,07:10,72,0
2026/01/25,07:15,74,0
2026/01/25,07:20,75,0
2026/01/25,07:25,76,0
2026/01/25,07:30,76,0
2026/01/25,07:35,77,1
2026/01/25,07:40,74,1
2026/01/25,07:45,74,1
2026/01/25,07:50,76,1
2026/01/25,07:55,77,2
2026/01/25,08:00,76,2
2026/01/25,08:05,81,3
2026/01/25,08:10,79,3
2026/01/25,08:15,79,4
2026/01/25,08:20,79,5
2026/01/25,08:25,80,5
2026/01/25,08:30,80,5
2026/01/25,08:35,82,5
2026/01/25,08:40,80,5
2026/01/25,08:45,79,5
2026/01/25,08:50,79,6
2026/01/25,08:55,80,7
2026/01/25,09:00,81,7
2026/01/25,09:05,86,9
2026/01/25,09:10,85,10
2026/01/25,09:15,84,11
2026/01/25,09:20,82,12
2026/01/25,09:25,83,13
2026/01/25,09:30,82,14
2026/01/25,09:35,87,15
2026/01/25,09:40,86,16
2026/01/25,09:45,84,17
2026/01/25,09:50,82,17
2026/01/25,09:55,82,17
2026/01/25,10:00,83,18
2026/01/25,10:05,87,18
2026/01/25,10:10,87,18
2026/01/25,10:15,87,19
2026/01/25,10:20,85,19
2026/01/25,10:25,85,20
2026/01/25,10:30,85,21
2026/01/25,10:35,89,21
2026/01/25,10:40,88,22
2026/01/25,10:45,87,23
2026/01/25,10:50,84,23
2026/01/25,10:55,84,23
2026/01/25,11:00,85,23
2026/01/25,11:05,86,23
2026/01/25,11:10,87,24
2026/01/25,11:15,86,25
2026/01/25,11:20,84,25
2026/01/25,11:25,84,26
2026/01/25,11:30,85,26
2026/01/25,11:35,87,26
2026/01/25,11:40,87,27
2026/01/25,11:45,86,27
2026/01/25,11:50,84,27
2026/01/25,11:55,83,27
2026/01/25,12:00,84,28
2026/01/25,12:05,86,28
2026/01/25,12:10,86,28
2026/01/25,12:15,86,28
2026/01/25,12:20,85,28
2026/01/25,12:25,84,29
2026/01/25,12:30,85,29
2026/01/25,12:35,86,29
2026/01/25,12:40,86,29
2026/01/25,12:45,86,29
2026/01/25,12:50,85,29
2026/01/25,12:55,83,29
2026/01/25,13:00,83,29
2026/01/25,13:05,85,29
2026/01/25,13:10,85,29
2026/01/25,13:15,84,28
2026/01/25,13:20,85,28
2026/01/25,13:25,83,28
2026/01/25,13:30,85,28
2026/01/25,13:35,84,27
2026/01/25,13:40,83,27
2026/01/25,13:45,84,26
2026/01/25,13:50,85,26
2026/01/25,13:55,83,25
2026/01/25,14:00,83,24
2026/01/25,14:05,84,24
2026/01/25,14:10,83,24
2026/01/25,14:15,84,24
2026/01/25,14:20,85,24
2026/01/25,14:25,85,23
2026/01/25,14:30,85,23
2026/01/25,14:35,82,23
2026/01/25,14:40,82,23
2026/01/25,14:45,83,22
2026/01/25,14:50,84,22
2026/01/25,14:55,83,21
2026/01/25,15:00,83,21
2026/01/25,15:05,79,21
2026/01/25,15:10,79,20
2026/01/25,15:15,81,20
2026/01/25,15:20,82,19
2026/01/25,15:25,83,19
2026/01/25,15:30,83,18
2026/01/25,15:35,78,18
2026/01/25,15:40,80,17
2026/01/25,15:45,80,16
2026/01/25,15:50,82,16
2026/01/25,15:55,82,15
2026/01/25,16:00,81,14
2026/01/25,16:05,76,14
2026/01/25,16:10,76,13
2026/01/25,16:15,78,12
2026/01/25,16:20,79,12
2026/01/25,16:25,81,11
2026/01/25,16:30,82,10
2026/01/25,16:35,79,9
2026/01/25,16:40,78,9
2026/01/25,16:45,79,8
2026/01/25,16:50,81,7
2026/01/25,16:55,82,7
2026/01/25,17:00,83,6
2026/01/25,17:05,79,5
