2026/03/17 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
133,10:00～11:00,03月16日,22:41,53,65

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
87,10:00～11:00,03月16日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
125,14:00～15:00,03月16日,22:41,42,70

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
88,14:00～15:00,03月16日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/03/16,00:00,66,68,53,123
2026/03/16,01:00,63,66,51,123
2026/03/16,02:00,65,67,52,125
2026/03/16,03:00,68,70,54,126
2026/03/16,04:00,70,72,55,126
2026/03/16,05:00,69,72,54,126
2026/03/16,06:00,71,74,56,126
2026/03/16,07:00,76,77,58,129
2026/03/16,08:00,79,82,58,135
2026/03/16,09:00,83,86,61,135
2026/03/16,10:00,87,87,67,129
2026/03/16,11:00,87,87,69,127
2026/03/16,12:00,85,85,67,126
2026/03/16,13:00,86,85,67,127
2026/03/16,14:00,87,88,69,126
2026/03/16,15:00,83,85,61,134
2026/03/16,16:00,81,83,61,131
2026/03/16,17:00,79,81,61,129
2026/03/16,18:00,81,82,65,124
2026/03/16,19:00,83,84,66,124
2026/03/16,20:00,81,82,65,123
2026/03/16,21:00,76,77,61,123
2026/03/16,22:00,75,73,61,123
2026/03/16,23:00,71,72,57,123

最大使用率(%),時間帯
69,14:00～15:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
129,10:00～11:00,03月17日,00:00,50,66

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
86,10:00～11:00,03月17日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
123,14:00～15:00,03月17日,00:00,45,69

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
85,14:00～15:00,03月17日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/03/16,00:00,69,0
2026/03/16,00:05,69,0
2026/03/16,00:10,69,0
2026/03/16,00:15,67,0
2026/03/16,00:20,65,0
2026/03/16,00:25,64,0
2026/03/16,00:30,65,0
2026/03/16,00:35,67,0
2026/03/16,00:40,67,0
2026/03/16,00:45,66,0
