2025/10/04 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
193,13:00～14:00,10月03日,22:41,28,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
151,13:00～14:00,10月03日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
178,17:00～18:00,10月03日,22:41,26,79

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
141,17:00～18:00,10月03日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/10/03,00:00,101,101,61,165
2025/10/03,01:00,96,95,63,151
2025/10/03,02:00,95,94,62,151
2025/10/03,03:00,95,94,62,151
2025/10/03,04:00,94,94,59,158
2025/10/03,05:00,96,97,58,165
2025/10/03,06:00,101,102,60,166
2025/10/03,07:00,114,113,67,170
2025/10/03,08:00,132,130,74,178
2025/10/03,09:00,143,140,77,185
2025/10/03,10:00,149,144,77,192
2025/10/03,11:00,151,146,77,196
2025/10/03,12:00,150,149,76,196
2025/10/03,13:00,153,151,78,194
2025/10/03,14:00,152,149,75,201
2025/10/03,15:00,151,147,77,194
2025/10/03,16:00,149,145,80,186
2025/10/03,17:00,143,141,79,179
2025/10/03,18:00,140,140,79,177
2025/10/03,19:00,138,139,78,177
2025/10/03,20:00,134,135,75,177
2025/10/03,21:00,126,128,73,171
2025/10/03,22:00,119,120,72,165
2025/10/03,23:00,112,113,71,156

最大使用率(%),時間帯
80,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
191,13:00～14:00,10月04日,00:00,38,72

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
138,13:00～14:00,10月04日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
165,20:00～21:00,10月04日,00:00,30,76

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
127,20:00～21:00,10月04日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
