2026/05/30 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
168,12:00～13:00,05月29日,22:41,40,71

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
120,12:00～13:00,05月29日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
168,12:00～13:00,05月29日,22:41,40,71

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
120,12:00～13:00,05月29日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/05/29,00:00,91,92,67,134
2026/05/29,01:00,86,88,64,134
2026/05/29,02:00,85,88,63,134
2026/05/29,03:00,86,87,64,134
2026/05/29,04:00,86,87,63,135
2026/05/29,05:00,88,89,65,135
2026/05/29,06:00,91,93,56,161
2026/05/29,07:00,99,101,59,166
2026/05/29,08:00,111,115,66,168
2026/05/29,09:00,118,123,69,171
2026/05/29,10:00,119,124,69,172
2026/05/29,11:00,117,123,69,169
2026/05/29,12:00,114,120,67,169
2026/05/29,13:00,118,118,67,174
2026/05/29,14:00,119,121,68,175
2026/05/29,15:00,117,123,67,174
2026/05/29,16:00,118,120,69,171
2026/05/29,17:00,115,113,69,166
2026/05/29,18:00,111,113,68,161
2026/05/29,19:00,111,114,69,159
2026/05/29,20:00,109,111,68,159
2026/05/29,21:00,102,104,64,159
2026/05/29,22:00,99,97,64,153
2026/05/29,23:00,94,95,63,148

最大使用率(%),時間帯
69,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
165,12:00～13:00,05月30日,00:00,40,71

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
118,12:00～13:00,05月30日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
146,16:00～17:00,05月30日,00:00,32,76

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
111,16:00～17:00,05月30日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/05/29,00:00,95,0
2026/05/29,00:05,95,0
2026/05/29,00:10,94,0
2026/05/29,00:15,94,0
2026/05/29,00:20,93,0
2026/05/29,00:25,93,0
2026/05/29,00:30,92,0
2026/05/29,00:35,92,0
2026/05/29,00:40,91,0
2026/05/29,00:45,91,0
