2026/04/28 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
153,11:00～12:00,04月27日,22:41,63,61

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
94,11:00～12:00,04月27日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
137,19:00～20:00,04月27日,22:41,56,64

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
88,19:00～20:00,04月27日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/04/27,00:00,68,71,55,123
2026/04/27,01:00,65,68,52,123
2026/04/27,02:00,66,69,53,123
2026/04/27,03:00,68,70,55,123
2026/04/27,04:00,70,71,56,123
2026/04/27,05:00,71,72,57,123
2026/04/27,06:00,73,74,58,124
2026/04/27,07:00,79,80,60,131
2026/04/27,08:00,85,87,61,139
2026/04/27,09:00,89,89,61,144
2026/04/27,10:00,91,92,61,149
2026/04/27,11:00,93,94,61,152
2026/04/27,12:00,91,92,60,151
2026/04/27,13:00,92,93,60,151
2026/04/27,14:00,91,92,62,146
2026/04/27,15:00,90,90,62,144
2026/04/27,16:00,89,88,58,153
2026/04/27,17:00,87,86,60,144
2026/04/27,18:00,86,86,62,138
2026/04/27,19:00,87,88,63,137
2026/04/27,20:00,85,86,62,137
2026/04/27,21:00,79,82,57,137
2026/04/27,22:00,75,76,61,123
2026/04/27,23:00,70,72,56,123

最大使用率(%),時間帯
63,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
155,11:00～12:00,04月28日,00:00,63,61

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
95,11:00～12:00,04月28日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
133,16:00～17:00,04月28日,00:00,49,66

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
89,16:00～17:00,04月28日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/04/27,00:00,73,0
2026/04/27,00:05,73,0
2026/04/27,00:10,72,0
2026/04/27,00:15,70,0
2026/04/27,00:20,68,0
2026/04/27,00:25,67,0
2026/04/27,00:30,69,0
2026/04/27,00:35,69,0
2026/04/27,00:40,70,0
2026/04/27,00:45,68,0
2026/04/27,00:50,68,0
2026/04/27,00:55,69,0
2026/04/27,01:00,68,0
2026/04/27,01:05,69,0
2026/04/27,01:10,68,0
2026/04/27,01:15,65,0
2026/04/27,01:20,65,0
2026/04/27,01:25,64,0
2026/04/27,01:30,66,0
2026/04/27,01:35,68,0
2026/04/27,01:40,67,0
2026/04/27,01:45,65,0
2026/04/27,01:50,66,0
2026/04/27,01:55,66,0
2026/04/27,02:00,67,0
2026/04/27,02:05,67,0
2026/04/27,02:10,66,0
2026/04/27,02:15,65,0
2026/04/27,02:20,63,0
2026/04/27,02:25,64,0
2026/04/27,02:30,67,0
2026/04/27,02:35,68,0
2026/04/27,02:40,68,0
2026/04/27,02:45,66,0
2026/04/27,02:50,69,0
2026/04/27,02:55,69,0
2026/04/27,03:00,69,0
2026/04/27,03:05,70,0
2026/04/27,03:10,70,0
2026/04/27,03:15,68,0
2026/04/27,03:20,67,0
2026/04/27,03:25,68,0
2026/04/27,03:30,70,0
2026/04/27,03:35,71,0
2026/04/27,03:40,69,0
2026/04/27,03:45,69,0
2026/04/27,03:50,71,0
2026/04/27,03:55,71,0
2026/04/27,04:00,71,0
2026/04/27,04:05,72,0
2026/04/27,04:10,71,0
2026/04/27,04:15,70,0
2026/04/27,04:20,68,0
2026/04/27,04:25,70,0
2026/04/27,04:30,71,0
2026/04/27,04:35,71,0
2026/04/27,04:40,72,0
2026/04/27,04:45,71,0
2026/04/27,04:50,73,0
2026/04/27,04:55,74,0
2026/04/27,05:00,73,0
2026/04/27,05:05,73,0
2026/04/27,05:10,72,0
2026/04/27,05:15,71,0
2026/04/27,05:20,70,0
2026/04/27,05:25,73,0
2026/04/27,05:30,72,0
2026/04/27,05:35,72,0
2026/04/27,05:40,74,0
2026/04/27,05:45,73,0
2026/04/27,05:50,71,0
2026/04/27,05:55,73,0
2026/04/27,06:00,73,0
2026/04/27,06:05,74,0
2026/04/27,06:10,73,0
2026/04/27,06:15,71,1
2026/04/27,06:20,70,1
2026/04/27,06:25,72,1
2026/04/27,06:30,73,1
2026/04/27,06:35,75,2
2026/04/27,06:40,76,2
2026/04/27,06:45,74,3
2026/04/27,06:50,76,3
2026/04/27,06:55,75,4
2026/04/27,07:00,76,4
2026/04/27,07:05,80,5
2026/04/27,07:10,79,6
2026/04/27,07:15,77,6
2026/04/27,07:20,76,7
2026/04/27,07:25,77,8
2026/04/27,07:30,78,8
2026/04/27,07:35,83,9
2026/04/27,07:40,83,10
2026/04/27,07:45,80,10
2026/04/27,07:50,81,11
2026/04/27,07:55,83,12
2026/04/27,08:00,83,12
2026/04/27,08:05,86,12
2026/04/27,08:10,86,12
2026/04/27,08:15,87,13
2026/04/27,08:20,85,14
2026/04/27,08:25,83,15
2026/04/27,08:30,84,16
2026/04/27,08:35,88,17
2026/04/27,08:40,87,18
2026/04/27,08:45,88,18
2026/04/27,08:50,88,18
2026/04/27,08:55,89,18
2026/04/27,09:00,89,19
2026/04/27,09:05,91,19
2026/04/27,09:10,92,19
2026/04/27,09:15,91,21
2026/04/27,09:20,89,22
2026/04/27,09:25,89,23
