2026/04/05 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
130,11:00～12:00,04月04日,22:41,37,73

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
95,11:00～12:00,04月04日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
130,11:00～12:00,04月04日,22:41,37,73

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
95,11:00～12:00,04月04日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/04/04,00:00,72,70,58,124
2026/04/04,01:00,70,68,56,124
2026/04/04,02:00,71,70,57,124
2026/04/04,03:00,74,73,59,124
2026/04/04,04:00,75,74,60,124
2026/04/04,05:00,75,73,60,124
2026/04/04,06:00,74,73,59,124
2026/04/04,07:00,77,77,61,126
2026/04/04,08:00,85,86,66,127
2026/04/04,09:00,89,90,66,133
2026/04/04,10:00,92,93,69,133
2026/04/04,11:00,94,95,72,130
2026/04/04,12:00,92,92,70,130
2026/04/04,13:00,92,91,73,126
2026/04/04,14:00,91,90,73,124
2026/04/04,15:00,88,89,71,123
2026/04/04,16:00,86,89,70,122
2026/04/04,17:00,88,88,71,124
2026/04/04,18:00,89,89,72,123
2026/04/04,19:00,90,88,73,123
2026/04/04,20:00,88,85,71,123
2026/04/04,21:00,84,83,68,123
2026/04/04,22:00,79,78,64,123
2026/04/04,23:00,75,75,61,123

最大使用率(%),時間帯
73,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
123,19:00～20:00,04月05日,00:00,37,73

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
90,19:00～20:00,04月05日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
123,19:00～20:00,04月05日,00:00,37,73

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
90,19:00～20:00,04月05日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/04/04,00:00,76,0
2026/04/04,00:05,76,0
2026/04/04,00:10,75,0
2026/04/04,00:15,73,0
2026/04/04,00:20,71,0
2026/04/04,00:25,71,0
2026/04/04,00:30,73,0
2026/04/04,00:35,73,0
2026/04/04,00:40,72,0
2026/04/04,00:45,74,0
2026/04/04,00:50,71,0
2026/04/04,00:55,71,0
2026/04/04,01:00,73,0
2026/04/04,01:05,73,0
2026/04/04,01:10,73,0
2026/04/04,01:15,72,0
2026/04/04,01:20,72,0
2026/04/04,01:25,69,0
2026/04/04,01:30,68,0
2026/04/04,01:35,71,0
2026/04/04,01:40,71,0
2026/04/04,01:45,71,0
2026/04/04,01:50,72,0
2026/04/04,01:55,69,0
2026/04/04,02:00,71,0
2026/04/04,02:05,71,0
2026/04/04,02:10,72,0
2026/04/04,02:15,72,0
2026/04/04,02:20,72,0
2026/04/04,02:25,70,0
2026/04/04,02:30,69,0
2026/04/04,02:35,70,0
2026/04/04,02:40,71,0
2026/04/04,02:45,73,0
2026/04/04,02:50,74,0
2026/04/04,02:55,73,0
2026/04/04,03:00,75,0
2026/04/04,03:05,72,0
2026/04/04,03:10,75,0
2026/04/04,03:15,75,0
2026/04/04,03:20,76,0
2026/04/04,03:25,76,0
2026/04/04,03:30,76,0
2026/04/04,03:35,73,0
2026/04/04,03:40,73,0
2026/04/04,03:45,75,0
2026/04/04,03:50,76,0
2026/04/04,03:55,76,0
2026/04/04,04:00,77,0
2026/04/04,04:05,74,0
2026/04/04,04:10,76,0
2026/04/04,04:15,77,0
2026/04/04,04:20,76,0
2026/04/04,04:25,76,0
2026/04/04,04:30,75,0
2026/04/04,04:35,73,0
2026/04/04,04:40,73,0
2026/04/04,04:45,76,0
2026/04/04,04:50,77,0
2026/04/04,04:55,77,0
2026/04/04,05:00,77,0
2026/04/04,05:05,76,0
2026/04/04,05:10,77,0
2026/04/04,05:15,78,0
2026/04/04,05:20,77,0
2026/04/04,05:25,77,0
2026/04/04,05:30,77,0
2026/04/04,05:35,75,0
2026/04/04,05:40,73,0
2026/04/04,05:45,74,0
2026/04/04,05:50,75,0
2026/04/04,05:55,76,0
2026/04/04,06:00,75,0
2026/04/04,06:05,74,0
2026/04/04,06:10,74,0
2026/04/04,06:15,75,0
2026/04/04,06:20,75,0
2026/04/04,06:25,75,0
2026/04/04,06:30,75,0
2026/04/04,06:35,74,0
2026/04/04,06:40,73,0
2026/04/04,06:45,74,0
2026/04/04,06:50,75,1
2026/04/04,06:55,76,1
2026/04/04,07:00,76,1
2026/04/04,07:05,76,1
2026/04/04,07:10,76,1
2026/04/04,07:15,77,1
2026/04/04,07:20,78,1
2026/04/04,07:25,78,2
2026/04/04,07:30,78,2
2026/04/04,07:35,78,3
