2026/04/13 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
160,12:00～13:00,04月12日,22:41,55,64

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
103,12:00～13:00,04月12日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
133,19:00～20:00,04月12日,22:41,30,76

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
102,19:00～20:00,04月12日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/04/12,00:00,79,78,59,133
2026/04/12,01:00,75,75,56,133
2026/04/12,02:00,76,77,57,133
2026/04/12,03:00,78,79,58,133
2026/04/12,04:00,78,80,58,133
2026/04/12,05:00,77,79,57,133
2026/04/12,06:00,75,76,56,134
2026/04/12,07:00,79,79,57,137
2026/04/12,08:00,86,86,60,142
2026/04/12,09:00,94,92,64,146
2026/04/12,10:00,99,95,65,152
2026/04/12,11:00,100,97,63,157
2026/04/12,12:00,101,103,62,161
2026/04/12,13:00,100,103,62,160
2026/04/12,14:00,101,102,64,156
2026/04/12,15:00,100,100,65,152
2026/04/12,16:00,99,99,67,147
2026/04/12,17:00,99,99,71,139
2026/04/12,18:00,100,101,74,134
2026/04/12,19:00,102,102,76,133
2026/04/12,20:00,100,101,75,133
2026/04/12,21:00,95,97,71,133
2026/04/12,22:00,90,91,67,133
2026/04/12,23:00,84,85,63,133

最大使用率(%),時間帯
76,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
161,13:00～14:00,04月13日,00:00,45,68

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
111,13:00～14:00,04月13日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
133,19:00～20:00,04月13日,00:00,30,76

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
102,19:00～20:00,04月13日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/04/12,00:00,82,0
2026/04/12,00:05,80,0
2026/04/12,00:10,79,0
2026/04/12,00:15,82,0
2026/04/12,00:20,82,0
2026/04/12,00:25,81,0
2026/04/12,00:30,80,0
2026/04/12,00:35,80,0
2026/04/12,00:40,80,0
2026/04/12,00:45,80,0
2026/04/12,00:50,79,0
2026/04/12,00:55,80,0
2026/04/12,01:00,78,0
2026/04/12,01:05,76,0
2026/04/12,01:10,75,0
2026/04/12,01:15,77,0
2026/04/12,01:20,77,0
2026/04/12,01:25,78,0
2026/04/12,01:30,77,0
2026/04/12,01:35,76,0
2026/04/12,01:40,77,0
2026/04/12,01:45,77,0
2026/04/12,01:50,77,0
2026/04/12,01:55,77,0
2026/04/12,02:00,76,0
2026/04/12,02:05,74,0
2026/04/12,02:10,74,0
2026/04/12,02:15,76,0
2026/04/12,02:20,76,0
2026/04/12,02:25,76,0
2026/04/12,02:30,76,0
2026/04/12,02:35,77,0
2026/04/12,02:40,78,0
2026/04/12,02:45,78,0
2026/04/12,02:50,79,0
2026/04/12,02:55,79,0
2026/04/12,03:00,77,0
2026/04/12,03:05,76,0
2026/04/12,03:10,77,0
2026/04/12,03:15,79,0
2026/04/12,03:20,79,0
2026/04/12,03:25,80,0
2026/04/12,03:30,79,0
2026/04/12,03:35,79,0
2026/04/12,03:40,80,0
2026/04/12,03:45,80,0
2026/04/12,03:50,80,0
2026/04/12,03:55,80,0
2026/04/12,04:00,78,0
2026/04/12,04:05,77,0
2026/04/12,04:10,77,0
2026/04/12,04:15,79,0
2026/04/12,04:20,79,0
2026/04/12,04:25,79,0
2026/04/12,04:30,78,0
2026/04/12,04:35,78,0
2026/04/12,04:40,79,0
2026/04/12,04:45,80,0
2026/04/12,04:50,80,0
2026/04/12,04:55,79,0
2026/04/12,05:00,77,0
2026/04/12,05:05,77,0
2026/04/12,05:10,78,0
2026/04/12,05:15,80,0
2026/04/12,05:20,79,0
2026/04/12,05:25,79,0
2026/04/12,05:30,78,0
2026/04/12,05:35,78,0
2026/04/12,05:40,78,0
2026/04/12,05:45,78,0
2026/04/12,05:50,78,0
2026/04/12,05:55,77,0
2026/04/12,06:00,75,0
2026/04/12,06:05,74,0
2026/04/12,06:10,74,0
2026/04/12,06:15,77,0
2026/04/12,06:20,77,0
