2026/04/20 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
131,11:00～12:00,04月19日,22:41,38,72

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
95,11:00～12:00,04月19日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
131,11:00～12:00,04月19日,22:41,38,72

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
95,11:00～12:00,04月19日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/04/19,00:00,78,78,63,123
2026/04/19,01:00,74,75,60,123
2026/04/19,02:00,74,76,60,123
2026/04/19,03:00,76,77,61,123
2026/04/19,04:00,77,78,62,123
2026/04/19,05:00,76,77,61,123
2026/04/19,06:00,74,75,60,123
2026/04/19,07:00,78,78,61,126
2026/04/19,08:00,84,84,64,130
2026/04/19,09:00,87,90,65,132
2026/04/19,10:00,90,93,67,133
2026/04/19,11:00,92,95,70,131
2026/04/19,12:00,92,94,68,134
2026/04/19,13:00,90,93,65,137
2026/04/19,14:00,90,92,64,140
2026/04/19,15:00,90,91,61,147
2026/04/19,16:00,90,92,62,143
2026/04/19,17:00,90,92,63,141
2026/04/19,18:00,93,93,67,138
2026/04/19,19:00,95,95,69,137
2026/04/19,20:00,93,93,67,137
2026/04/19,21:00,87,89,63,137
2026/04/19,22:00,83,83,60,137
2026/04/19,23:00,78,78,60,130

最大使用率(%),時間帯
70,11:00～12:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
147,11:00～12:00,04月20日,00:00,50,66

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
98,11:00～12:00,04月20日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
132,08:00～09:00,04月20日,00:00,45,68

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
91,08:00～09:00,04月20日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/04/19,00:00,82,0
2026/04/19,00:05,82,0
2026/04/19,00:10,82,0
2026/04/19,00:15,81,0
2026/04/19,00:20,79,0
2026/04/19,00:25,78,0
2026/04/19,00:30,78,0
2026/04/19,00:35,80,0
2026/04/19,00:40,79,0
2026/04/19,00:45,79,0
2026/04/19,00:50,79,0
2026/04/19,00:55,77,0
2026/04/19,01:00,78,0
2026/04/19,01:05,77,0
2026/04/19,01:10,78,0
2026/04/19,01:15,77,0
2026/04/19,01:20,76,0
2026/04/19,01:25,74,0
2026/04/19,01:30,73,0
2026/04/19,01:35,74,0
2026/04/19,01:40,74,0
2026/04/19,01:45,75,0
2026/04/19,01:50,75,0
2026/04/19,01:55,74,0
2026/04/19,02:00,74,0
2026/04/19,02:05,75,0
