2025/08/24 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
194,13:00～14:00,08月23日,22:41,40,71

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
139,13:00～14:00,08月23日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
169,19:00～20:00,08月23日,22:41,27,78

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
133,19:00～20:00,08月23日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/08/23,00:00,104,104,65,159
2025/08/23,01:00,99,98,73,134
2025/08/23,02:00,97,96,72,134
2025/08/23,03:00,97,97,72,134
2025/08/23,04:00,96,96,71,134
2025/08/23,05:00,97,97,72,134
2025/08/23,06:00,97,98,69,140
2025/08/23,07:00,107,107,71,150
2025/08/23,08:00,121,121,67,180
2025/08/23,09:00,131,131,70,186
2025/08/23,10:00,137,135,72,190
2025/08/23,11:00,139,136,72,193
2025/08/23,12:00,139,138,71,195
2025/08/23,13:00,138,139,71,193
2025/08/23,14:00,136,139,72,189
2025/08/23,15:00,135,137,73,185
2025/08/23,16:00,133,137,74,179
2025/08/23,17:00,132,133,75,174
2025/08/23,18:00,131,132,77,170
2025/08/23,19:00,131,133,77,169
2025/08/23,20:00,128,129,74,171
2025/08/23,21:00,122,123,71,171
2025/08/23,22:00,117,116,68,171
2025/08/23,23:00,113,114,70,161

最大使用率(%),時間帯
77,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
193,14:00～15:00,08月24日,00:00,40,71

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
138,14:00～15:00,08月24日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
172,19:00～20:00,08月24日,00:00,28,77

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
134,19:00～20:00,08月24日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/08/23,00:00,109,0
2025/08/23,00:05,108,0
2025/08/23,00:10,108,0
2025/08/23,00:15,107,0
2025/08/23,00:20,107,0
2025/08/23,00:25,106,0
2025/08/23,00:30,105,0
2025/08/23,00:35,105,0
2025/08/23,00:40,104,0
2025/08/23,00:45,104,0
2025/08/23,00:50,103,0
2025/08/23,00:55,103,0
2025/08/23,01:00,103,0
2025/08/23,01:05,102,0
2025/08/23,01:10,102,0
2025/08/23,01:15,101,0
2025/08/23,01:20,101,0
2025/08/23,01:25,100,0
2025/08/23,01:30,100,0
2025/08/23,01:35,100,0
2025/08/23,01:40,99,0
2025/08/23,01:45,99,0
2025/08/23,01:50,99,0
2025/08/23,01:55,99,0
2025/08/23,02:00,98,0
2025/08/23,02:05,98,0
2025/08/23,02:10,98,0
2025/08/23,02:15,98,0
2025/08/23,02:20,98,0
2025/08/23,02:25,98,0
2025/08/23,02:30,98,0
2025/08/23,02:35,98,0
2025/08/23,02:40,99,0
2025/08/23,02:45,100,0
2025/08/23,02:50,99,0
2025/08/23,02:55,99,0
2025/08/23,03:00,99,0
2025/08/23,03:05,99,0
2025/08/23,03:10,99,0
2025/08/23,03:15,99,0
2025/08/23,03:20,99,0
2025/08/23,03:25,99,0
2025/08/23,03:30,99,0
2025/08/23,03:35,98,0
2025/08/23,03:40,98,0
2025/08/23,03:45,97,0
2025/08/23,03:50,97,0
2025/08/23,03:55,97,0
2025/08/23,04:00,97,0
2025/08/23,04:05,97,0
2025/08/23,04:10,97,0
2025/08/23,04:15,96,0
2025/08/23,04:20,96,0
2025/08/23,04:25,96,0
2025/08/23,04:30,96,0
2025/08/23,04:35,96,0
2025/08/23,04:40,97,0
2025/08/23,04:45,97,0
2025/08/23,04:50,97,0
2025/08/23,04:55,97,0
2025/08/23,05:00,97,0
2025/08/23,05:05,98,0
2025/08/23,05:10,98,0
2025/08/23,05:15,98,0
2025/08/23,05:20,98,0
2025/08/23,05:25,98,0
2025/08/23,05:30,98,0
2025/08/23,05:35,98,0
2025/08/23,05:40,98,0
2025/08/23,05:45,98,0
2025/08/23,05:50,98,0
2025/08/23,05:55,98,0
2025/08/23,06:00,98,0
2025/08/23,06:05,98,0
2025/08/23,06:10,98,0
2025/08/23,06:15,98,0
2025/08/23,06:20,97,0
2025/08/23,06:25,97,0
2025/08/23,06:30,97,0
2025/08/23,06:35,99,1
2025/08/23,06:40,99,1
2025/08/23,06:45,99,1
2025/08/23,06:50,100,2
2025/08/23,06:55,100,2
2025/08/23,07:00,101,2
2025/08/23,07:05,104,2
2025/08/23,07:10,104,3
2025/08/23,07:15,105,3
2025/08/23,07:20,105,4
2025/08/23,07:25,106,4
2025/08/23,07:30,106,5
2025/08/23,07:35,111,6
2025/08/23,07:40,112,6
2025/08/23,07:45,113,7
2025/08/23,07:50,113,7
2025/08/23,07:55,114,8
2025/08/23,08:00,115,9
2025/08/23,08:05,118,9
2025/08/23,08:10,119,10
2025/08/23,08:15,120,10
2025/08/23,08:20,121,9
2025/08/23,08:25,121,10
2025/08/23,08:30,121,10
2025/08/23,08:35,124,10
2025/08/23,08:40,124,11
2025/08/23,08:45,124,12
2025/08/23,08:50,125,13
2025/08/23,08:55,125,14
2025/08/23,09:00,124,15
2025/08/23,09:05,129,16
2025/08/23,09:10,129,16
2025/08/23,09:15,130,17
2025/08/23,09:20,130,17
2025/08/23,09:25,131,18
2025/08/23,09:30,132,18
2025/08/23,09:35,134,18
2025/08/23,09:40,135,18
2025/08/23,09:45,135,18
2025/08/23,09:50,136,19
2025/08/23,09:55,136,19
2025/08/23,10:00,136,19
2025/08/23,10:05,138,20
2025/08/23,10:10,139,20
2025/08/23,10:15,138,20
2025/08/23,10:20,138,20
2025/08/23,10:25,138,20
2025/08/23,10:30,138,21
2025/08/23,10:35,140,22
2025/08/23,10:40,140,22
2025/08/23,10:45,140,22
2025/08/23,10:50,139,22
2025/08/23,10:55,139,23
2025/08/23,11:00,139,23
2025/08/23,11:05,140,24
2025/08/23,11:10,140,24
2025/08/23,11:15,140,23
2025/08/23,11:20,140,24
2025/08/23,11:25,140,24
2025/08/23,11:30,140,24
2025/08/23,11:35,141,24
2025/08/23,11:40,140,24
2025/08/23,11:45,141,24
2025/08/23,11:50,140,24
2025/08/23,11:55,140,24
2025/08/23,12:00,140,24
2025/08/23,12:05,140,23
2025/08/23,12:10,140,24
2025/08/23,12:15,140,23
2025/08/23,12:20,139,23
2025/08/23,12:25,140,23
2025/08/23,12:30,141,22
2025/08/23,12:35,139,22
2025/08/23,12:40,139,22
2025/08/23,12:45,139,22
2025/08/23,12:50,140,21
2025/08/23,12:55,140,21
2025/08/23,13:00,141,21
2025/08/23,13:05,140,21
2025/08/23,13:10,141,21
2025/08/23,13:15,141,20
2025/08/23,13:20,140,21
2025/08/23,13:25,140,21
2025/08/23,13:30,140,20
2025/08/23,13:35,138,20
2025/08/23,13:40,139,19
2025/08/23,13:45,139,18
2025/08/23,13:50,139,17
2025/08/23,13:55,138,18
2025/08/23,14:00,138,18
2025/08/23,14:05,137,18
2025/08/23,14:10,137,19
2025/08/23,14:15,137,18
2025/08/23,14:20,138,18
2025/08/23,14:25,138,17
2025/08/23,14:30,139,17
2025/08/23,14:35,136,16
2025/08/23,14:40,136,15
2025/08/23,14:45,136,15
2025/08/23,14:50,137,14
2025/08/23,14:55,137,14
2025/08/23,15:00,137,14
2025/08/23,15:05,136,14
2025/08/23,15:10,136,13
2025/08/23,15:15,136,13
2025/08/23,15:20,137,13
2025/08/23,15:25,137,13
2025/08/23,15:30,137,12
2025/08/23,15:35,136,12
2025/08/23,15:40,136,12
2025/08/23,15:45,136,12
2025/08/23,15:50,137,11
2025/08/23,15:55,136,10
2025/08/23,16:00,136,10
2025/08/23,16:05,134,10
2025/08/23,16:10,134,10
2025/08/23,16:15,135,9
2025/08/23,16:20,135,8
2025/08/23,16:25,135,8
2025/08/23,16:30,135,7
2025/08/23,16:35,133,7
2025/08/23,16:40,134,7
2025/08/23,16:45,134,7
2025/08/23,16:50,135,6
2025/08/23,16:55,135,6
2025/08/23,17:00,135,6
2025/08/23,17:05,133,5
2025/08/23,17:10,134,5
2025/08/23,17:15,134,5
2025/08/23,17:20,134,4
2025/08/23,17:25,134,4
2025/08/23,17:30,134,4
2025/08/23,17:35,132,4
2025/08/23,17:40,133,3
2025/08/23,17:45,133,3
2025/08/23,17:50,132,3
2025/08/23,17:55,133,2
2025/08/23,18:00,133,2
2025/08/23,18:05,131,2
2025/08/23,18:10,131,2
2025/08/23,18:15,131,1
2025/08/23,18:20,131,1
2025/08/23,18:25,131,1
2025/08/23,18:30,132,1
2025/08/23,18:35,131,1
2025/08/23,18:40,131,0
2025/08/23,18:45,132,0
2025/08/23,18:50,132,0
2025/08/23,18:55,132,0
2025/08/23,19:00,132,0
2025/08/23,19:05,132,0
2025/08/23,19:10,132,0
2025/08/23,19:15,133,0
2025/08/23,19:20,133,0
2025/08/23,19:25,133,0
2025/08/23,19:30,133,0
2025/08/23,19:35,133,0
2025/08/23,19:40,133,0
2025/08/23,19:45,132,0
2025/08/23,19:50,132,0
2025/08/23,19:55,132,0
2025/08/23,20:00,131,0
2025/08/23,20:05,131,0
2025/08/23,20:10,131,0
2025/08/23,20:15,130,0
2025/08/23,20:20,130,0
2025/08/23,20:25,130,0
2025/08/23,20:30,129,0
2025/08/23,20:35,129,0
2025/08/23,20:40,129,0
2025/08/23,20:45,129,0
2025/08/23,20:50,128,0
2025/08/23,20:55,128,0
2025/08/23,21:00,127,0
2025/08/23,21:05,127,0
2025/08/23,21:10,126,0
2025/08/23,21:15,126,0
2025/08/23,21:20,126,0
2025/08/23,21:25,125,0
2025/08/23,21:30,125,0
2025/08/23,21:35,124,0
2025/08/23,21:40,124,0
2025/08/23,21:45,124,0
2025/08/23,21:50,123,0
2025/08/23,21:55,123,0
2025/08/23,22:00,122,0
2025/08/23,22:05,121,0
2025/08/23,22:10,120,0
2025/08/23,22:15,120,0
2025/08/23,22:20,119,0
2025/08/23,22:25,119,0
2025/08/23,22:30,118,0
2025/08/23,22:35,118,0
2025/08/23,22:40,117,0
2025/08/23,22:45,117,0
2025/08/23,22:50,116,0
2025/08/23,22:55,116,0
2025/08/23,23:00,115,0
2025/08/23,23:05,117,0
2025/08/23,23:10,117,0
2025/08/23,23:15,116,0
2025/08/23,23:20,114,0
2025/08/23,23:25,115,0
2025/08/23,23:30,115,0
2025/08/23,23:35,115,0
2025/08/23,23:40,115,0
2025/08/23,23:45,112,0
2025/08/23,23:50,113,0
2025/08/23,23:55,113,0
