2025/09/21 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
209,13:00～14:00,09月20日,22:41,40,71

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
149,13:00～14:00,09月20日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
187,17:00～18:00,09月20日,22:41,31,76

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
143,17:00～18:00,09月20日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/09/20,00:00,111,112,64,173
2025/09/20,01:00,105,106,65,161
2025/09/20,02:00,103,104,64,161
2025/09/20,03:00,103,103,64,161
2025/09/20,04:00,101,102,62,161
2025/09/20,05:00,102,103,63,161
2025/09/20,06:00,104,104,64,162
2025/09/20,07:00,113,114,63,178
2025/09/20,08:00,128,127,64,198
2025/09/20,09:00,137,139,67,204
2025/09/20,10:00,143,144,68,208
2025/09/20,11:00,146,148,69,211
2025/09/20,12:00,147,148,69,211
2025/09/20,13:00,148,149,70,209
2025/09/20,14:00,146,148,70,208
2025/09/20,15:00,145,146,72,201
2025/09/20,16:00,143,145,74,193
2025/09/20,17:00,140,143,74,188
2025/09/20,18:00,139,138,74,186
2025/09/20,19:00,138,137,74,186
2025/09/20,20:00,134,134,72,186
2025/09/20,21:00,129,130,69,186
2025/09/20,22:00,123,123,66,186
2025/09/20,23:00,116,116,62,186

最大使用率(%),時間帯
74,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
210,13:00～14:00,09月21日,00:00,48,67

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
142,13:00～14:00,09月21日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
186,19:00～20:00,09月21日,00:00,34,74

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
139,19:00～20:00,09月21日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/09/20,00:00,117,0
2025/09/20,00:05,116,0
2025/09/20,00:10,115,0
2025/09/20,00:15,112,0
2025/09/20,00:20,111,0
2025/09/20,00:25,113,0
2025/09/20,00:30,113,0
2025/09/20,00:35,112,0
