2026/03/13 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
127,19:00～20:00,03月12日,22:41,46,68

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
87,19:00～20:00,03月12日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
127,19:00～20:00,03月12日,22:41,46,68

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
87,19:00～20:00,03月12日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/03/12,00:00,65,66,51,126
2026/03/12,01:00,62,63,49,126
2026/03/12,02:00,64,65,50,126
2026/03/12,03:00,67,68,53,126
2026/03/12,04:00,68,69,54,126
2026/03/12,05:00,69,69,54,126
2026/03/12,06:00,70,71,55,126
2026/03/12,07:00,74,75,57,129
2026/03/12,08:00,80,80,59,135
2026/03/12,09:00,83,85,58,143
2026/03/12,10:00,82,86,56,145
2026/03/12,11:00,83,85,59,140
2026/03/12,12:00,83,83,57,145
2026/03/12,13:00,84,84,58,144
2026/03/12,14:00,84,82,58,144
2026/03/12,15:00,83,82,58,141
2026/03/12,16:00,83,84,60,137
2026/03/12,17:00,81,81,62,130
2026/03/12,18:00,84,86,66,127
2026/03/12,19:00,86,87,67,127
2026/03/12,20:00,84,84,66,127
2026/03/12,21:00,80,80,63,127
2026/03/12,22:00,75,74,59,127
2026/03/12,23:00,71,70,55,127

最大使用率(%),時間帯
67,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
131,10:00～11:00,03月13日,00:00,49,67

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
88,10:00～11:00,03月13日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
127,19:00～20:00,03月13日,00:00,48,67

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
86,19:00～20:00,03月13日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/03/12,00:00,68,0
2026/03/12,00:05,68,0
2026/03/12,00:10,68,0
2026/03/12,00:15,68,0
2026/03/12,00:20,67,0
2026/03/12,00:25,67,0
2026/03/12,00:30,67,0
2026/03/12,00:35,66,0
2026/03/12,00:40,66,0
2026/03/12,00:45,66,0
2026/03/12,00:50,65,0
2026/03/12,00:55,65,0
2026/03/12,01:00,65,0
