2026/03/14 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
138,11:00～12:00,03月13日,22:41,48,67

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
93,11:00～12:00,03月13日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
127,19:00～20:00,03月13日,22:41,46,68

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
87,19:00～20:00,03月13日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/03/13,00:00,67,68,52,127
2026/03/13,01:00,65,66,51,127
2026/03/13,02:00,66,67,52,127
2026/03/13,03:00,70,70,55,127
2026/03/13,04:00,71,72,55,127
2026/03/13,05:00,72,72,56,127
2026/03/13,06:00,74,74,58,127
2026/03/13,07:00,78,78,60,129
2026/03/13,08:00,82,84,60,136
2026/03/13,09:00,85,87,59,142
2026/03/13,10:00,87,92,61,142
2026/03/13,11:00,88,93,63,138
2026/03/13,12:00,85,84,62,136
2026/03/13,13:00,87,87,63,137
2026/03/13,14:00,84,89,63,133
2026/03/13,15:00,81,85,57,142
2026/03/13,16:00,81,83,59,136
2026/03/13,17:00,81,82,62,130
2026/03/13,18:00,84,85,66,127
2026/03/13,19:00,86,87,67,127
2026/03/13,20:00,84,85,66,127
2026/03/13,21:00,80,81,63,127
2026/03/13,22:00,78,75,61,127
2026/03/13,23:00,75,75,59,127

最大使用率(%),時間帯
67,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
136,12:00～13:00,03月14日,00:00,64,61

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
83,12:00～13:00,03月14日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
113,03:00～04:00,03月14日,00:00,55,64

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
73,03:00～04:00,03月14日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/03/13,00:00,70,0
2026/03/13,00:05,69,0
2026/03/13,00:10,69,0
2026/03/13,00:15,69,0
2026/03/13,00:20,68,0
2026/03/13,00:25,68,0
2026/03/13,00:30,68,0
2026/03/13,00:35,67,0
2026/03/13,00:40,67,0
2026/03/13,00:45,67,0
2026/03/13,00:50,67,0
2026/03/13,00:55,66,0
2026/03/13,01:00,66,0
2026/03/13,01:05,66,0
2026/03/13,01:10,66,0
2026/03/13,01:15,66,0
2026/03/13,01:20,66,0
2026/03/13,01:25,66,0
2026/03/13,01:30,66,0
2026/03/13,01:35,65,0
2026/03/13,01:40,65,0
2026/03/13,01:45,65,0
2026/03/13,01:50,66,0
2026/03/13,01:55,66,0
2026/03/13,02:00,66,0
2026/03/13,02:05,66,0
2026/03/13,02:10,66,0
2026/03/13,02:15,66,0
2026/03/13,02:20,66,0
2026/03/13,02:25,67,0
2026/03/13,02:30,67,0
2026/03/13,02:35,68,0
2026/03/13,02:40,68,0
2026/03/13,02:45,68,0
2026/03/13,02:50,68,0
2026/03/13,02:55,68,0
2026/03/13,03:00,69,0
2026/03/13,03:05,69,0
2026/03/13,03:10,70,0
2026/03/13,03:15,70,0
2026/03/13,03:20,70,0
2026/03/13,03:25,70,0
2026/03/13,03:30,71,0
2026/03/13,03:35,71,0
2026/03/13,03:40,71,0
2026/03/13,03:45,71,0
2026/03/13,03:50,71,0
2026/03/13,03:55,71,0
2026/03/13,04:00,72,0
2026/03/13,04:05,72,0
2026/03/13,04:10,72,0
2026/03/13,04:15,72,0
2026/03/13,04:20,72,0
2026/03/13,04:25,72,0
2026/03/13,04:30,72,0
2026/03/13,04:35,72,0
